H	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	C000654	4/2/2018	O	4/1/2018	T	T	Karen Gallardo 713-215-3572				
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9030029	8/1/2005	10/31/2015	730	N	5312	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	5312	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	5312	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9030478	9/1/2005	10/31/2017	730	N	1036	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	1036	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	1036	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031413	10/1/2005	10/31/2015	365	N	5952	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	5952	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	5952	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031414	10/1/2005	10/31/2015	365	N	5382	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	5382	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	5382	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031498	10/1/2005	4/30/2018		Y	12525	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	12525	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	12525	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031575	10/1/2005	4/30/2017	365	N	518	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	518	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	518	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031576	10/1/2005	4/30/2017	365	N	2277	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	2277	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	2277	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031599	10/1/2005	6/13/2006	279	N	9565	0	o4
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	9565	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	1256	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	8309	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031703	10/1/2005	4/30/2018		Y	207	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	207	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	207	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9031704	10/1/2005	4/30/2018		Y	776	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	776	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	776	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9034843	1/1/2006	12/8/2008	1095	N	207	0	o1
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	207	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	35	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	52	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	39	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	81	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9035033	1/1/2006	12/31/2008	1095	N	52575	0	o6
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	52575	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	8938	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	13144	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	9989	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	20504	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9079929	3/1/2009	4/30/2014	365	N	1500	0	
P	S8	UNITED CIT GA M7037	95	1006666	ZONE 4	1500	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	375	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	1125	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9129284	11/1/2012	10/31/2015	730	N	891	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	891	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	891	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	9145702	11/1/2013	10/31/2023		Y	2070	0	
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	2070	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	2070	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	LNG	9031667	11/1/2013	10/30/2016	365	N	0	8126	
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	1916					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	WSS-OA	9031865	10/1/2005	3/31/2006	365	N	0	31050	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	327					
D	NATIONAL FUEL GAS DISTRIBUTION CORP	6976666	N	FT	1006487	8/1/1993	10/31/2006	365	N	26332	0	
P	S8	WHARTON-NAT FUEL	95	1006325	ZONE 6	26332	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	4476	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	6584	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	5003	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	10269	0					
D	NATIONAL FUEL GAS DISTRIBUTION CORP	6976666	N	FT	1006502	10/1/1993	10/30/2012	365	N	11789	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	11789	0					
P	S9	UTOS TGPL	95	1006402	ZONE 2	11534	0					
P	S9	RAGLEY-TET	95	1006217	ZONE 3	255	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT	1000628	1/1/1994	12/31/2013	365	N	5000	0	
P	S8	NEW JERSEY NATURAL	95	1006678	ZONE 6	5000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	5000	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT	1000674	1/1/1994	12/31/2013	365	N	3250	0	
P	S8	NEW JERSEY NATURAL	95	1006678	ZONE 6	3250	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	3250	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT	1003834	1/1/1996	12/13/2009	365	N	10350	0	
P	S8	NEW JERSEY NATURAL	95	1006678	ZONE 6	10350	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	10350	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT	1010444	4/1/1995	2/1/1998	186	N	3931	0	
P	S8	DOWNINGTOWN	95	1006067	ZONE 6	3931	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	983	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	747	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2201	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT	9203878	9/9/2017	3/22/2033		Y	180000	0	
P	S8	CHESTERFIELD M6344	95	9009566	ZONE 6	180000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	180000	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	SS-2	1003970	7/25/1990	3/31/2009	365	N	0	922185	
P	WR	SS-2 NATIONAL FUEL	95	1002693	ZONE 6	0	8384					
D	NEW YORK POWER AUTHORITY	75252098	N	FT	9041828	7/1/2006	3/31/2018	365	N	30840	0	
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	15420	0					
P	S8	LONG ISLAND LIGHTING	95	1006382	ZONE 6	15420	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	30840	0					
D	NEWARK ENERGY CENTER LLC	78671057	N	FDLS	9154724	4/1/2014	4/4/2022		N	125000	0	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	S8	DELANCY M6332	95	9006602	ZONE 6	125000	0					
P	S9	BAYONNE TRANSFER	95	9006582	ZONE 6	125000	0					
D	"NEXTERA ENERGY POWER MARKETING, LLC"	54481341	N	FT	9162212	11/1/2014	11/30/2017	365	N	20000	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	20000	0					
P	S9	MARC I	95	9007162	ZONE 6	20000	0					
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT	1045104	3/1/2003	3/31/2003	30	N	5000	0	
P	S8	BROOKLYN UNION	95	1006558	ZONE 6	5000	0					
P	S9	LAMBERTVILLE-TETCO	95	1006154	ZONE 6	5000	0					
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT	9132643	1/1/2013	4/2/2013	30	N	4000	0	
P	S8	UGI	95	1006691	ZONE 6	4000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	680	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1000	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	760	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1560	0					
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT	9132644	1/1/2013	4/2/2013	30	N	4075	0	
P	S8	UGI	95	1006691	ZONE 6	4075	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	693	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1019	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	774	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1589	0					
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT	9203938	10/1/2017	9/30/2023		Y	30000	0	
P	S8	CPH M/L 1689.4	95	9008646	ZONE 6	30000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	30000	0					
D	"NOBLE ENERGY, INC."	52877586	N	FT	1002233	10/13/1995	12/31/2019		N	6440	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	6440	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1095	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1610	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1223	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2512	0					
D	NORTHEAST ENERGY ASSOCIATES	783900152	N	FT	1044990	2/1/2003	11/30/2016	365	N	25254	0	
A	"NEXTERA ENERGY POWER MARKETING, LLC"	N										
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	25254	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	25254	0					
D	NSTAR GAS COMPANY	6953947	N	FT	1006431	6/1/1993	5/31/2008	365	N	3073	0	
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	3073	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	3073	0					
D	NUCOR CORPORATION	3446796	N	FT	9046070	11/1/2006	8/31/2016	1095	N	1776	0	
P	S8	CAROLINA GAS	95	9003140	ZONE 5	1776	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	302	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	444	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	337	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	693	0					
D	NUCOR CORPORATION	3446796	N	FT	9046072	11/1/2006	10/31/2017	730	N	1055	0	
P	S8	CAROLINA GAS	95	9003140	ZONE 5	1055	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	1055	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	0	0					
D	NUCOR STEEL LOUISIANA LLC	965548188	N	FT	9146964	1/1/2014	12/31/2025		N	45000	0	
A	MOBIUS RISK GROUP LLC	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	45000	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	45000	0					
D	OGLETHORPE POWER CORPORATION	73460305	N	FT	9002901	5/1/2003	4/30/2018		Y	81600	0	
A	"ALLIANCE FOR COOPERATIVE ENERGY SERVICES POWER MARKETING, LLC"	N										
P	S8	CHATTAHOOCHEE	95	1006323	ZONE 4	81600	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	40800	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	40800	0					
D	OGLETHORPE POWER CORPORATION	73460305	N	FT	9201201	8/1/2017	7/31/2042		Y	208000	0	
A	"ALLIANCE FOR COOPERATIVE ENERGY SERVICES POWER MARKETING, LLC"	N										
P	S8	HOLMESVILLE	95	1006128	ZONE 4	208000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	208000	0					
D	OLD DOMINION ELECTRIC COOPERATIVE	70431218	N	FT	9188870	8/1/2016	7/31/2046		Y	192000	0	
A	"ALLIANCE FOR COOPERATIVE ENERGY SERVICES POWER MARKETING, LLC"	N										
P	S8	WILDCAT PWR GEN M6337	95	9009150	ZONE 6	192000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	192000	0					
D	"OLD OWENS CORNING SALES, LLC (USE 716190)"	1317452	N	FT	1004844	2/1/1992	3/30/1999	1095	N	6210	0	
A	INFINITE ENERGY INC	N										
P	S8	OWENS CORNING M7023	95	1003223	ZONE 5	6210	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1056	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1552	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1180	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2422	0					
D	"OLD OWENS CORNING SALES, LLC (USE 716190)"	1317452	N	WSS-OA	9010365	11/7/2003	4/30/2007	365	N	0	776250	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	8171					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9019195	11/1/2004	10/31/2015	730	N	2000	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	SHELBY M7102	95	1006237	ZONE 5	2000	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	2000	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9025511	4/1/2005	3/31/2008	1095	N	1000	0	o6
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BLACKSBURG	95	1006024	ZONE 5	1000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	170	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	250	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	190	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	390	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9044344	11/1/2006	4/30/2018		Y	9000	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	DANVILLE	95	1006062	ZONE 5	9000	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	9000	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9046121	11/1/2006	12/30/2008	1095	N	9333	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BLACKSBURG	95	1006024	ZONE 5	9333	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1586	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	2333	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1773	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	3641	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9046123	11/1/2006	10/31/2017	730	N	27159	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BLACKSBURG	95	1006024	ZONE 5	27159	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	23910	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	3249	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9070528	7/1/2008	6/30/2011	1095	N	500	0	o6
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BLACKSBURG	95	1006024	ZONE 5	500	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	85	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	125	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	95	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	195	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9084723	11/1/2009	3/31/2015	279	N	1035	0	o4
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	UNION SC M7124	95	1006670	ZONE 5	1035	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	136	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	899	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9095605	4/1/2010	3/31/2013	1095	N	2500	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	DANVILLE	95	1006062	ZONE 5	2500	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	425	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	625	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	475	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	975	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9109168	4/1/2011	4/30/2017	365	N	3500	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	FOUNTAIN INN M7108	95	1006092	ZONE 5	3500	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	3500	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9109829	4/1/2011	3/31/2014	1095	N	994	0	o6
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BLACKSBURG	95	1006024	ZONE 5	994	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	169	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	248	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	189	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	388	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9115348	9/3/2011	3/31/2033		N	207	0	o1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	SHELBY M7102	95	1006237	ZONE 5	207	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	35	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	52	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	39	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	81	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9116176	11/1/2011	3/31/2033		N	104	0	o1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	41	0					
P	S8	LAURENS M7043	95	1006156	ZONE 5	104	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	18	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	25	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	20	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	41	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	41	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9150286	2/1/2014	3/31/2019		N	6880	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	PIEDMONT	95	1006576	ZONE 5	2874	0					
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	4006	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1170	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1721	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1307	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2682	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9163291	11/1/2015	10/31/2068		N	2264	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BGE-BEAVER DAM M4392	95	1006743	ZONE 6	2264	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	385	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	566	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	430	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	883	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9166934	4/1/2015	3/31/2078		N	9626	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	EASTERN SHORE	95	1006570	ZONE 6	9626	0					
P	S9	CPH CTGS 108.73	95	9007362	ZONE 1	9626	0					
D	PATRIOTS ENERGY GROUP	137467457	N	FT	9203247	11/1/2017	2/28/2100		N	2500	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	2500	0					
P	S9	CPH M/L MP 446.41	95	9007102	ZONE 2	2446	0					
P	S9	CPH M/L 469.41	95	9007103	ZONE 3	54	0					
D	PATRIOTS ENERGY GROUP	137467457	N	GSS	9046386	4/1/2013	3/31/2023		N	0	49848	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	951					
D	PATRIOTS ENERGY GROUP	137467457	N	LNG	9046314	11/1/2013	10/31/2016	365	N	0	6765	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	1353					
D	PATRIOTS ENERGY GROUP	137467457	N	LNG	9116962	11/1/2013	3/31/2033		N	0	5106	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	917					
D	PATRIOTS ENERGY GROUP	137467457	N	LNG	9160928	11/1/2013	3/31/2064		N	0	10350	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	2070					
D	PATRIOTS ENERGY GROUP	137467457	N	WSS-OA	9046122	11/1/2006	3/31/2008	365	N	0	845812	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	8903					
D	PECO ENERGY COMPANY	7914468	N	FT	1003693	2/1/1992	3/30/2006	1095	N	154278	0	
P	S8	PHILADELPHIA ELEC	95	1006555	ZONE 6	154278	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	26227	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	38569	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	29313	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	60169	0					
D	PECO ENERGY COMPANY	7914468	N	FT	1005000	8/1/1991	7/30/2006	1095	N	4554	0	o1
P	S8	PHILADELPHIA ELEC	95	1006555	ZONE 6	4554	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	774	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1139	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	865	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1776	0					
D	PECO ENERGY COMPANY	7914468	N	FT	1044182	11/1/2002	10/31/2018		Y	30000	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	8000	0					
P	S8	PHILADELPHIA ELEC	95	1006555	ZONE 6	22000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	30000	0					
D	PECO ENERGY COMPANY	7914468	N	FT	9089628	11/1/2009	10/31/2029		Y	25000	0	
P	S8	PHILADELPHIA ELEC	95	1006555	ZONE 6	25000	0					
P	S9	PLEASANT VALLEY	95	1095059	ZONE 5	25000	0					
D	PECO ENERGY COMPANY	7914468	N	GSS	1000884	4/1/2013	3/31/2023		N	0	2667190	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	54508					
D	PECO ENERGY COMPANY	7914468	N	S-2	1000885	11/1/1954	4/15/2001	365	N	0	2799327	
P	WR	OAKFORD STG TETCO	95	1002696	ZONE 6	0	31142					
D	PECO ENERGY COMPANY	7914468	N	WSS-OA	1031819	10/1/1999	3/31/2002	365	N	0	3687492	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	38816					
D	PHILADELPHIA GAS WORKS	148415904	N	FT	1003691	2/1/1992	3/30/2005	1095	N	165212	0	o14
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	767	0					
P	S8	PHILADELPHIA GAS WRK	95	1006621	ZONE 6	165212	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	28086	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	41304	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	31389	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	64433	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	767	0					
D	PHILADELPHIA GAS WORKS	148415904	N	FT	1005001	8/1/1991	7/30/2011	1095	N	1967	0	o1
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	767	0					
P	S8	PHILADELPHIA GAS WRK	95	1006621	ZONE 6	1967	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	334	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	492	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	374	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	767	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	767	0					
D	PHILADELPHIA GAS WORKS	148415904	N	GSS	1000791	7/1/1996	3/31/2023		N	0	4123733	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	61567					
D	PHILADELPHIA GAS WORKS	148415904	N	S-2	1000943	11/1/1954	4/15/2001	365	N	0	466552	
P	WR	OAKFORD STG TETCO	95	1002696	ZONE 6	0	5191					
D	PHILADELPHIA GAS WORKS	148415904	N	WSS-OA	1038582	4/1/2001	3/31/2002	365	N	0	3335909	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	35115					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	ESS	1018471	11/1/1993	10/31/2013	365	N	0	1261622	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	150430					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1002268	8/1/1991	2/28/2003	1095	N	6440	0	
P	S8	PIEDMONT	95	1006576	ZONE 5	6440	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1095	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1610	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1223	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2512	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1003702	2/1/1992	1/31/2023		N	301016	0	o14
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	2463	0					
P	S8	PIEDMONT	95	1006576	ZONE 5	301016	0					
