H	DOMINION ENERGY TRANSMISSION INC	C000160	4/2/2018	O	4/1/2018	T	T	JOHN BROWNLEE 804-771-4678	 			
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"15,055"	0					
P	S8	TALISMAN ENERGY USA - YAWGER RD	95	EB030		"80,000"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"15,055"	0					
P	S8	TET - OAKFORD	95	40208		"39,658"	0					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"6,431"	0					
P	S8	TXG - LEBANON	95	40601		"15,055"	0					
P	S9	(40110) HOPEWELL (CANANDAIGUA)	95	20719		"5,522"	0					
P	S9	AUBURN	95	20702		"10,881"	0					
P	S9	BIG FLATS	95	20703		402	0					
P	S9	BLANCHARD ROAD	95	20704		237	0					
P	S9	COMFORT ROAD	95	20726		"18,408"	0					
P	S9	CORTLAND	95	20705		"4,731"	0					
P	S9	DANSVILLE (PORTAGEVILLE)	95	20706		"5,677"	0					
P	S9	DERUYTER	95	20707		"8,516"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"80,140"	0					
P	S9	DRYDEN	95	20731		946	0					
P	S9	EAST AUBURN	95	20708		"6,860"	0					
P	S9	EAST ITHACA	95	20710		"8,989"	0					
P	S9	EATON/MORRISVILLE	95	20709		710	0					
P	S9	FREEVILLE	95	20729		473	0					
P	S9	GARDNER	95	20712		"2,558"	0					
P	S9	GROTON	95	20713		"1,419"	0					
P	S9	ITHACA	95	20714		"7,096"	0					
P	S9	LESTER ROAD	95	20715		"10,408"	0					
P	S9	MARCELLUS	95	20716		946	0					
D	NEW YORK STATE ELECTRIC & GAS	41866497	N	FTNN   	100120	3/1/2011	3/31/2020	 	N	"20,000"	0	
P	S9	BIG FLATS	95	20703		"2,200"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"20,000"	0					
P	S9	GARDNER	95	20712		"14,000"	0					
P	S9	WHISKEY CREEK	95	21004		"10,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"20,000"	0					
P	S8	TET - OAKFORD	95	40208		"20,000"	0					
D	NEW YORK STATE ELECTRIC & GAS	41866497	N	FT     	200058	11/1/1992	3/31/2022	 	N	"8,000"	0	
P	S9	DERUYTER	95	20707		675	0					
P	S9	DANSVILLE (PORTAGEVILLE)	95	20706		450	0					
P	S9	CORTLAND	95	20705		375	0					
P	S9	COMFORT ROAD	95	20726		"1,460"	0					
P	S9	BLANCHARD ROAD	95	20704		19	0					
P	S9	BIG FLATS	95	20703		206	0					
P	S9	AUBURN	95	20702		863	0					
P	S9	(40110) HOPEWELL (CANANDAIGUA)	95	20719		438	0					
P	S9	DRYDEN	95	20731		75	0					
P	S8	IROQ - CANAJ (BROOKMANS CORNER)	95	41101		"8,000"	0					
P	S9	WHISKEY CREEK	95	21004		938	0					
P	S9	WATERVILLE	95	20727		49	0					
P	S9	SOUTH CORTLAND	95	20718		488	0					
P	S9	OLD SENECA TURNPIKE	95	20730		56	0					
P	S9	NEWFIELD	95	20728		38	0					
P	S9	EAST AUBURN	95	20708		544	0					
P	S9	EAST ITHACA	95	20710		713	0					
P	S9	EATON/MORRISVILLE	95	20709		56	0					
P	S9	FREEVILLE	95	20729		38	0					
P	S9	GARDNER	95	20712		"1,313"	0					
P	S9	GROTON	95	20713		113	0					
P	S9	ITHACA	95	20714		563	0					
P	S9	LESTER ROAD	95	20715		825	0					
P	S9	MARCELLUS	95	20716		75	0					
P	S9	MILLARD ROAD	95	20717		"1,426"	0					
D	NEW YORK STATE ELECTRIC & GAS	41866497	N	FT     	200392	1/9/2004	3/31/2025	 	N	700	0	
P	S8	IROQ - CANAJ (BROOKMANS CORNER)	95	41101		700	0					
P	S9	NYSEG - MECHANICSVILLE	95	20534		700	0					
P	S9	WEST SCHENECTADY	95	20520		700	0					
D	NEW YORK STATE ELECTRIC & GAS	41866497	N	GSS    	300063	10/1/1993	3/31/2022	 	N	0	"5,922,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"110,302"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"32,900"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"32,900"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"110,302"					
D	NEW YORK STATE ELECTRIC & GAS	41866497	N	FT     	5B7282      	9/1/2012	10/31/2025	 	N	"2,300"	0	
P	S8	TRANSCO - LEIDY	95	40301		"2,300"	0					
P	S8	TET - LEIDY	95	40206		"2,300"	0					
D	NEW YORK STATE ELECTRIC & GAS	41866497	N	FTNNGSS	700014	10/1/1993	3/31/2022	 	N	"110,302"	0	
P	S9	(40110) HOPEWELL (CANANDAIGUA)	95	20719		"6,040"	0					
P	S9	ARLINGTON STORAGE DEL - MEAS VOL	95	20722		"110,302"	0					
P	S9	WHISKEY CREEK	95	21004		"12,935"	0					
P	S9	WATERVILLE	95	20727		673	0					
P	S9	SOUTH CORTLAND	95	20718		"6,726"	0					
P	S9	OLD SENECA TURNPIKE	95	20730		776	0					
P	S9	NEWFIELD	95	20728		517	0					
P	S9	MILLARD ROAD	95	20717		"19,661"	0					
P	S9	MARCELLUS	95	20716		"1,035"	0					
P	S9	LESTER ROAD	95	20715		"11,383"	0					
P	S9	ITHACA	95	20714		"7,761"	0					
P	S9	GROTON	95	20713		"1,552"	0					
P	S9	GARDNER	95	20712		"18,109"	0					
P	S9	FREEVILLE	95	20729		517	0					
P	S9	EATON/MORRISVILLE	95	20709		776	0					
P	S9	EAST ITHACA	95	20710		"9,830"	0					
P	S9	EAST AUBURN	95	20708		"7,502"	0					
P	S9	DRYDEN	95	20731		"1,035"	0					
P	S9	DERUYTER	95	20707		"9,313"	0					
P	S9	DANSVILLE (PORTAGEVILLE)	95	20706		"6,209"	0					
P	S9	CORTLAND	95	20705		"5,174"	0					
P	S9	COMFORT ROAD	95	20726		"20,132"	0					
P	S9	BLANCHARD ROAD	95	20704		259	0					
P	S9	BIG FLATS	95	20703		"2,846"	0					
P	S9	AUBURN	95	20702		"11,900"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"110,302"	0					
D	NEXTERA ENERGY MARKETING LLC	54481341	N	FT     	200631	11/1/2013	10/31/2016	365	Y	"100,000"	0	
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		"100,000"	0					
P	S8	ETC NORTHEAST PIPELINE (TL-360)	95	EB360		"100,000"	0					
D	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	6994735	N	FTNN   	100001	10/1/1993	3/31/2021	 	N	"340,122"	0	
A	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	N										
P	S9	THERM CITY 1	95	20515		"278,100"	0					
P	S9	TROY	95	20517		"53,700"	0					
P	S9	TULLY	95	20540		"2,030"	0					
P	S9	UTICA	95	20519		"103,000"	0					
P	S9	WEST SCHENECTADY	95	20520		"140,800"	0					
P	S8	ANR - LEBANON	95	40401		"51,004"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"340,122"	0					
P	S8	IROQ - CANAJ (BROOKMANS CORNER)	95	41101		"20,000"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"51,004"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"51,004"	0					
P	S8	TET - LEIDY	95	40206		"12,260"	0					
P	S8	TET - OAKFORD	95	40208		"133,079"	0					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"56,916"	0					
P	S8	TGP - ELLISBURG	95	40107		"20,680"	0					
P	S8	TGP - PETERSBURG	95	40116		"45,727"	0					
P	S8	TRANSCO - LEIDY	95	40301		"12,260"	0					
P	S8	TXG - LEBANON	95	40601		"51,004"	0					
P	S9	ALBANY	95	20502		"100,600"	0					
P	S9	AMSTERDAM	95	20503		"38,100"	0					
P	S9	BIDDLECUM ROAD	95	20504		"176,000"	0					
P	S9	BROOKVIEW	95	20505		"53,700"	0					
P	S9	CANAJOHARIE	95	20506		"6,100"	0					
P	S9	CAZENOVIA	95	20507		"10,030"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"340,122"	0					
P	S9	EAST GREENBUSH	95	20508		"53,700"	0					
P	S9	FORT ORANGE	95	20509		"53,700"	0					
P	S9	HERKIMER	95	20510		"22,000"	0					
P	S9	NORMANSKILL SOUTH ALBANY	95	20511		"82,125"	0					
P	S9	ONEIDA	95	20512		"5,000"	0					
P	S9	RIVERSIDE	95	20541		75	0					
P	S9	SCHENECTADY	95	20513		"125,000"	0					
P	S9	SKANEATELAS	95	20514		"4,500"	0					
D	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	6994735	N	FT     	200290	10/1/2001	3/31/2021	 	N	"17,792"	0	
A	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	N										
P	S9	CAZENOVIA	95	20507		"17,792"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"17,792"	0					
P	S9	HERKIMER	95	20510		"17,792"	0					
P	S9	ONEIDA	95	20512		"17,792"	0					
P	S9	THERM CITY 1	95	20515		"17,792"	0					
P	S9	TULLY	95	20540		"17,792"	0					
P	S9	UTICA	95	20519		"17,792"	0					
P	S8	ARLINGTON STORAGE - RECEIPTS	95	20721		"15,000"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"2,792"	0					
P	S9	BIDDLECUM ROAD	95	20504		"17,792"	0					
P	S9	ARLINGTON STORAGE - DELIVERIES	95	20720		"15,000"	0					
P	S9	SKANEATELAS	95	20514		"17,792"	0					
D	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	6994735	N	FT     	200558	11/1/2010	10/31/2025	 	N	"17,700"	0	
A	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	N										
P	S9	WEST SCHENECTADY	95	20520		"17,700"	0					
P	S8	TET - LEIDY	95	40206		"17,700"	0					
P	S8	TRANSCO - LEIDY	95	40301		"17,700"	0					
D	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	6994735	N	FT     	200720	11/1/2017	10/31/2032	 	Y	"30,000"	0	
A	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	N										
P	S8	TRANSCO - LEIDY	95	40301		"30,000"	0					
P	S8	TET - LEIDY	95	40206		"30,000"	0					
P	S9	WEST SCHENECTADY	95	20520		"30,000"	0					
D	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	6994735	N	GSS    	300001	10/1/1993	3/31/2021	 	N	0	"22,917,225"	
A	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	N										
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"127,318"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"438,078"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"127,318"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"438,078"					
D	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	6994735	N	FTNNGSS	700001	10/1/1993	3/31/2021	 	N	"434,078"	0	
A	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	N										
P	S9	ALBANY	95	20502		"100,600"	0					
P	S9	AMSTERDAM	95	20503		"38,100"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"434,078"	0					
P	S9	WEST SCHENECTADY	95	20520		"140,800"	0					
P	S9	UTICA	95	20519		"103,000"	0					
P	S9	TULLY	95	20540		"2,030"	0					
P	S9	TROY	95	20517		"53,700"	0					
P	S9	THERM CITY 1	95	20515		"278,100"	0					
P	S9	SKANEATELAS	95	20514		"4,500"	0					
P	S9	SCHENECTADY	95	20513		"125,000"	0					
P	S9	RIVERSIDE	95	20541		75	0					
P	S9	ONEIDA	95	20512		"5,000"	0					
P	S9	NORMANSKILL SOUTH ALBANY	95	20511		"82,125"	0					
P	S9	HERKIMER	95	20510		"22,000"	0					
P	S9	BIDDLECUM ROAD	95	20504		"176,000"	0					
P	S9	BROOKVIEW	95	20505		"53,700"	0					
P	S9	CANAJOHARIE	95	20506		"6,100"	0					
P	S9	CAZENOVIA	95	20507		"10,030"	0					
P	S9	EAST GREENBUSH	95	20508		"53,700"	0					
P	S9	FORT ORANGE	95	20509		"53,700"	0					
D	NJR ENERGY SERVICES	25715165	N	FT     	200459	9/1/2005	10/31/2017	365	N	"18,000"	0	
P	S9	TET - LEIDY	95	40206		"18,000"	0					
P	S9	TRANSCO - LEIDY	95	40301		"18,000"	0					
P	S8	PITTSBURGH MILLS (TL-469)	95	EB410		"18,000"	0					
D	"NOBLE ENERGY, INC."	52877586	N	FT     	200617	9/1/2012	8/31/2022	 	Y	"30,345"	0	
P	S8	POD 11 BRIDGEPORT	95	P0011		"3,066"	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"30,345"	0					
P	S8	POD 5 WESTON EAST	95	P0005		347	0					
P	S8	POD 4 WESTON	95	P0004		"5,807"	0					
P	S8	POD 14 HASTINGS TRANSMISSION	95	P0014		23	0					
P	S8	POD 1 SCHUTTE	95	P0001		283	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"20,819"	0					
D	"NOBLE ENERGY, INC."	52877586	N	FT     	5D8851      	12/1/2016	8/31/2022	 	Y	"16,200"	0	
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"16,200"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"12,700"	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		"3,500"	0					
D	NORTHEAST ENERGY ASSOCIATES	783900152	N	GSS    	300122	2/1/1999	3/31/2022	 	N	0	"1,400,000"	
A	NEXTERA ENERGY MARKETING LLC	N										
P	S8	TET - LEIDY	95	40206		0	"7,778"					
P	S8	TRANSCO - LEIDY	95	40301		0	"7,778"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"7,778"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"7,778"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"14,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"14,000"					
D	NORTHEAST ENERGY ASSOCIATES	783900152	N	FTGSS  	700050	11/1/1998	3/31/2022	 	N	"14,000"	0	
A	NEXTERA ENERGY MARKETING LLC	N										
P	S8	DETI STRG POINT (ST)	95	10002		"14,000"	0					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"14,000"	0					
D	NOVELIS CORPORATION	1504935	N	FT     	200006	9/1/1996	3/31/2020	 	N	"10,000"	0	
A	"SUMMIT ENERGY SERVICES, INC"	N										
P	S8	TXG - LEBANON	95	40601		"4,189"	0					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"2,795"	0					
P	S8	TET - OAKFORD	95	40208		"3,016"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"4,189"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"4,189"	0					
P	S8	ANR - LEBANON	95	40401		"4,189"	0					
P	S9	ALCAN ROLLED PRODUCTS	95	20535		"10,000"	0					
P	S9	BIDDLECUM ROAD	95	20504		"10,000"	0					
D	NRG REMA LLC	74414207	N	FT     	200727	10/1/2017	5/31/2026	 	N	"95,000"	0	
A	NRG POWER MARKETING LLC	N										
P	S9	MEDIX RUN M&R (LN-50)	95	41701		"95,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"95,000"	0					
D	NRG REMA LLC	74414207	N	GSS    	300216	10/1/2017	3/31/2019	 	N	0	"1,200,000"	
A	NRG POWER MARKETING LLC	N										
												
D	NRG REMA LLC	74414207	N	FTNNGSS	700110	10/1/2017	3/31/2019	 	N	"30,000"	0	
A	NRG POWER MARKETING LLC	N										
P	S8	DETI STRG POINT (ST)	95	10002		"30,000"	0					
P	S9	MEDIX RUN M&R (LN-50)	95	41701		"30,000"	0					
D	NSTAR GAS COMPANY	6953947	N	FT     	200612	4/1/2013	3/31/2019	 	N	"9,722"	0	
P	S9	TGP - MORRISVILLE	95	40114		"9,722"	0					
P	S8	TGP - ELLISBURG	95	40107		"9,722"	0					
D	NSTAR GAS COMPANY	6953947	N	GSS    	300057	4/1/1980	3/31/2022	 	N	0	"929,435"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"8,449"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"8,449"					
P	S8	TGP - ELLISBURG	95	40107		0	"5,164"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"5,164"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"5,164"					
P	S9	TGP - ELLISBURG	95	40107		0	"8,449"					
D	NSTAR GAS COMPANY	6953947	N	GSSTE  	600005	10/1/1993	3/31/2021	 	N	0	"1,064,618"	yc1
A	DIRECT ENERGY BUSINESS MARKETING LLC	N										
P	S9	TET - RAGER MOUNTAIN	95	40210		0	0					
P	S8	DETI STRG POINT (ST)	95	10002		0	"5,915"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"5,915"					
P	S8	TET - CRAYNE FARM	95	40218		0	"5,915"					
P	S8	TET - LEIDY	95	40206		0	"5,915"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"5,915"					
P	S8	TET - MULLETT	95	40207		0	"5,915"					
P	S8	TET - OAKFORD	95	40208		0	"5,915"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"5,915"					
P	S8	TET - ROCKWOOD	95	40211		0	"5,915"					
P	S8	TET - WAYNESBURG	95	40215		0	"5,915"					
P	S8	TET - WOODSFIELD	95	40213		0	"5,915"					
P	S8	TRANSCO - LEIDY	95	40301		0	"5,915"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"11,008"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"11,008"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - OAKFORD	95	40208		0	"11,008"					
D	PANDA STONEWALL LLC	53463992	N	FT     	200703	12/2/2016	3/31/2018	30	N	"20,000"	0	
A	"SOUTH JERSEY RESOURCES GROUP, LLC"	N										
P	S9	PANDA STONEWALL M&R	95	30230		"20,000"	0					
P	S8	DETI - LOUDOUN	95	40704		"20,000"	0					
D	PANDA STONEWALL LLC	53463992	N	FT     	200707	10/1/2017	9/30/2037	 	Y	"55,000"	0	
A	"SOUTH JERSEY RESOURCES GROUP, LLC"	N										
P	S9	PANDA STONEWALL M&R	95	30230		"55,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"55,000"	0					
D	PECO ENERGY COMPANY	7914468	N	GSSTE  	600032	10/1/1993	3/31/2016	365	N	0	"3,326,029"	yc1
P	S9	DETI STRG POINT (ST)	95	10002		0	"34,663"					
P	S8	TRANSCO - LEIDY	95	40301		0	"18,478"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - OAKFORD	95	40208		0	"34,663"					
P	S9	TET - RAGER MOUNTAIN	95	40210		0	0					
P	S8	DETI STRG POINT (ST)	95	10002		0	"18,478"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"18,478"					
P	S8	TET - LEIDY	95	40206		0	"18,478"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"18,478"					
P	S8	TET - MULLETT	95	40207		0	"18,478"					
P	S8	TET - OAKFORD	95	40208		0	"18,478"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"18,478"					
P	S8	TET - ROCKWOOD	95	40211		0	"18,478"					
P	S8	TET - WAYNESBURG	95	40215		0	"18,478"					
P	S8	TET - WOODSFIELD	95	40213		0	"18,478"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"34,663"					
D	PEOPLES GAS COMPANY LLC	77493252	N	FT     	200623	11/1/2014	10/31/2029	 	N	"10,000"	0	
P	S9	PEOPLES GAS CO BUTLER	95	24102		"10,000"	0					
D	PEOPLES GAS COMPANY LLC	77493252	N	GSS    	300091	5/1/1996	3/31/2022	 	N	0	"300,000"	
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"5,000"					
P	S8	TRANSCO - LEIDY	95	40301		0	"1,667"					
P	S8	TGP - ELLISBURG	95	40107		0	"1,667"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"1,667"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"1,667"					
P	S8	TET - LEIDY	95	40206		0	"1,667"					
P	S8	TET - OAKFORD	95	40208		0	"1,667"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"5,000"					
D	PEOPLES GAS COMPANY LLC	77493252	N	GSS    	300098	4/1/1997	3/31/2022	 	N	0	"600,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,333"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,333"					
P	S8	TGP - ELLISBURG	95	40107		0	"3,333"					
P	S8	TET - OAKFORD	95	40208		0	"3,333"					
P	S8	TET - LEIDY	95	40206		0	"3,333"					
P	S8	TRANSCO - LEIDY	95	40301		0	"3,333"					
D	PEOPLES GAS COMPANY LLC	77493252	N	GSS    	300104	4/1/2000	3/31/2022	 	N	0	"600,000"	
P	S8	TET - LEIDY	95	40206		0	"3,333"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,333"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,333"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	S8	TET - OAKFORD	95	40208		0	"3,333"					
P	S8	TRANSCO - LEIDY	95	40301		0	"3,333"					
P	S8	TGP - ELLISBURG	95	40107		0	"3,333"					
D	PEOPLES GAS COMPANY LLC	77493252	N	GSS    	300192	4/1/2014	3/31/2029	 	Y	0	"600,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,333"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,333"					
D	PEOPLES GAS COMPANY LLC	77493252	N	FTGSS  	700037	5/1/1996	3/31/2022	 	N	"5,000"	0	
P	S9	SPRINGDALE	95	24002		"5,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"5,000"	0					
D	PEOPLES GAS COMPANY LLC	77493252	N	FTGSS  	700039	4/1/1997	3/31/2022	 	N	"10,000"	0	
P	S9	PEOPLES GAS CO BUTLER	95	24102		"10,000"	0					
P	S9	SPRINGDALE	95	24002		"5,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"10,000"	0					
D	PEOPLES GAS COMPANY LLC	77493252	N	FTGSS  	700042	4/1/2000	3/31/2022	 	N	"10,000"	0	
P	S9	PEOPLES GAS CO BUTLER	95	24102		"10,000"	0					
P	S9	SPRINGDALE	95	24002		"5,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"10,000"	0					
D	PEOPLES NATURAL GAS COMPANY LLC	7916208	N	FTNN   	100119	4/1/2007	3/31/2034	 	N	"40,000"	0	
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"3,255"	0					
P	S8	TGP - PETERSBURG	95	40116		"6,838"	0					
P	S8	TXG - LEBANON	95	40601		"9,156"	0					
P	S9	ANGELICA	95	20909		"1,000"	0					
P	S9	CALEDONIA(BARKS ROAD)	95	20902		"1,000"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"40,000"	0					
P	S9	DONOVAN	95	20903		"1,000"	0					
P	S9	ELLIOT	95	20212		"2,000"	0					
P	S9	EQUITRANS - COLVIN	95	41015		"25,000"	0					
P	S9	JOHNSONBURG (NATIONAL FUEL)	95	20911		"1,000"	0					
P	S9	MIDLAND	95	20204		"40,000"	0					
P	S9	NATL FUEL - ELLISBURG	95	41201		"1,000"	0					
P	S9	NORTH BELMONT	95	20910		"1,000"	0					
P	S9	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"14,000"	0					
P	S9	OAKFORD	95	20205		"40,000"	0					
P	S9	PORTERVILLE	95	20905		"1,000"	0					
P	S9	SILVER SPRINGS (GENESEE FALLS)	95	20906		"1,000"	0					
P	S9	STULL/COXCOMB/GIBSONIA/SEVEN FIELDS	95	20206		"15,000"	0					
P	S9	WEST WELLSVILLE	95	20907		"1,000"	0					
P	S9	WYOMING	95	20908		"1,000"	0					
P	S8	ANR - LEBANON	95	40401		"9,156"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"40,000"	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"5,190"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"9,156"	0					
P	S8	RUBRIGHT (TL-474)	95	EB180		"12,000"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"9,156"	0					
P	S8	TET - OAKFORD	95	40208		"15,561"	0					
D	PEOPLES NATURAL GAS COMPANY LLC	7916208	N	FT     	200654	4/1/2014	3/31/2034	 	N	"40,000"	0	
P	S9	EQUITRANS - MARS CRYDER	95	41009		"20,000"	0					
P	S9	STULL/COXCOMB/GIBSONIA/SEVEN FIELDS	95	20206		"20,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"40,000"	0					
P	S8	TET - OAKFORD	95	40208		"40,000"	0					
D	PEOPLES NATURAL GAS COMPANY LLC	7916208	N	GSS    	300181	4/1/2007	3/31/2034	 	N	0	"4,600,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"40,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"40,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"25,556"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"25,556"					
D	PEOPLES NATURAL GAS COMPANY LLC	7916208	N	GSS    	300196	4/1/2014	3/31/2034	 	Y	0	"2,480,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"40,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"40,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"13,778"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"13,778"					
D	PETRO HOLDINGS INC	67574421	N	FT     	200595	9/1/2012	8/31/2022	 	Y	390	0	
A	DOMINION ENERGY FIELD SERVICES INC	Y										
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		390	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		196	0					
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		175	0					
P	S8	POD 9 CORNWELL #9	95	P0009		19	0					
D	PHILADELPHIA GAS WORKS	2323145	N	GSSTE  	600033	10/1/1993	3/31/2006	365	N	0	"3,918,971"	yc1
P	S9	DETI STRG POINT (ST)	95	10002		0	"34,047"					
P	S8	TRANSCO - LEIDY	95	40301		0	"21,772"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - LEIDY	95	40206		0	"12,374"					
P	S9	TET - OAKFORD	95	40208		0	"34,047"					
P	S9	TRANSCO - LEIDY	95	40301		0	"12,374"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"21,772"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"21,772"					
P	S8	TET - LEIDY	95	40206		0	"21,772"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"21,772"					
P	S8	TET - MULLETT	95	40207		0	"21,772"					
P	S8	TET - OAKFORD	95	40208		0	"21,772"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"21,772"					
P	S8	TET - ROCKWOOD	95	40211		0	"21,772"					
P	S8	TET - WAYNESBURG	95	40215		0	"21,772"					
P	S8	TET - WOODSFIELD	95	40213		0	"21,772"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"34,047"					
