H	"ENABLE GAS TRANSMISSION, LLC"	C000544	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
P	MQ	AR HWY & TRANS ACCT 1	95	18345	NORTH POOLING AREA	46	0	YI3/YK3				
P	MQ	AR HWY & TRANS ACCT 2	95	18346	NORTH POOLING AREA	26	0	YI3/YK3				
D	ARKANSAS STATE MILITARY DEPARTMENT CAMP ROBINSON	65320400	N	FT	1002995	1/1/2002	12/31/2007	365	N	800	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	800	0					
P	MQ	ARK ST MILITARY ACCT	95	13053	NORTH POOLING AREA	800	0	YI3/YK3				
D	ARKANSAS STATE UNIVERSITY - JONESBORO	73510067	N	FT	1001333	7/1/1994	6/30/2007	365	N	1000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1000	0					
P	MQ	ARK STATE UNIV-ACCT	95	11454	NORTH POOLING AREA	1000	0	YI3/YK3				
D	ARKANSAS STATE UNIVERSITY - JONESBORO	73510067	N	FT	1009461	7/1/2012	3/31/2016	365	N	28	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	28	0					
P	MQ	AR ST UNIV-BB ACCT	95	15357	NORTH POOLING AREA	28	0	YI3/YK3				
D	ARKANSAS STATE UNIVERSITY-BEEBE	10325751	N	FT	1009112	1/1/2012	3/31/2019		N	38	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	38	0					
P	MQ	ARK ST UNIV-HEBER SP AC	95	15198	NORTH POOLING AREA	38	0	YI3/YK3				
D	ARKANSAS STEEL ASSOCIATES	25469073	N	FT	1000198	1/1/1987	3/31/2008	365	N	1500	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1500	0					
P	MQ	ARKANSAS STEEL ACCT	95	13783	NORTH POOLING AREA	1500	0	YI3/YK3				
D	ARKANSAS SURGICAL HOSPITAL LLC	180361797	N	FT	1008461	1/1/2011	3/31/2012	365	N	163	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	163	0					
P	MQ	ARKANSAS SURGICAL H ACC	95	14647	NORTH POOLING AREA	163	0	YI3/YK3				
D	ARKANSAS TEACHER RETIREMENT SYSTEM	557411514	N	FT	1009331	5/1/2012	4/30/2019		N	38	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	38	0					
P	MQ	ARK TEACH RETRMNT ACCT	95	15271	NORTH POOLING AREA	38	0	YI3/YK3				
D	ARKANSAS TECH UNIVERSITY	75638866	N	FT	1008530	1/1/2011	3/31/2012	365	N	670	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	670	0					
P	MQ	ARK TECH-TURRENTINE ACC	95	13255	NORTH POOLING AREA	670	0	YI3/YK3				
D	ARKANSAS WORKERS COMPENSATION COMMISSION	96811620	N	FT	1009318	5/1/2012	4/30/2019		N	20	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	20	0					
P	MQ	ARK WORKERS COMP ACCT	95	15258	NORTH POOLING AREA	20	0	YI3/YK3				
D	ARLINGTON HOTEL COMPANY INC	35519669	N	FT	1008488	1/1/2011	3/31/2012	365	N	325	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	325	0					
P	MQ	ARLINGTON HOTEL CO ACCT	95	14578	NORTH POOLING AREA	325	0	YI3/YK3				
D	ASH GROVE CEMENT COMPANY	7123698	N	FT	1000455	3/1/1989	8/31/2020		N	1000	0	
A	ENERGY MANAGEMENT RESOURCES	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1000	0					
P	MQ	ASH GROVE CEMENT PLT	95	801533	SOUTH POOLING AREA	1000	0					
D	ASHLAND INC	784899692	N	FT	1001826	11/1/1996	7/31/2004	365	N	380	0	
A	DELTA ENERGY LLC	N										
A	CASS INFORMATION SYSTEMS	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	380	0					
P	MQ	ASHLAND INC ACCT	95	11501	NORTH POOLING AREA	380	0	YI3/YK3				
D	ASPHALT PRODUCTS LLC	155179893	N	FT	1007230	7/1/2009	3/31/2015	365	N	243	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	243	0					
P	MQ	ASPHALT PRODUCTS LLC AC	95	14444	NORTH POOLING AREA	243	0	YI3/YK3				
D	ATLANTA HOSPITAL AUTHORITY DBA ATLANTA MEMORIAL HOSPITAL	69730190	N	FT	1007913	7/1/2010	3/31/2012	365	N	90	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	90	0					
P	MQ	ATLANTA MEM HOSP ACCT	95	14771	SOUTH POOLING AREA	90	0	YI3/YK3				
D	ATLAS ASPHALT INC	7017601	N	FT	1002744	12/1/2000	9/30/2006	365	N	60	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	60	0					
P	MQ	ATLAS ASPHT-BATEVL-ACCT	95	12867	NORTH POOLING AREA	20	0	YI3/YK3				
P	MQ	ATLAS ASPLT-BEARDN-ACCT	95	12868	NORTH POOLING AREA	40	0	YI3/YK3				
D	ATLAS ROOFING CORPORATION	4546859	N	FT	1001495	4/1/1995	5/31/2014	365	N	1320	0	
A	UTILITY MANAGEMENT CORP	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1320	0	YM2				
P	M2	TGT PV CORE REC	95	12143	SOUTH POOLING AREA	1320	0					
P	MQ	ATLAS ROOFING - ACCT	95	12042	SOUTH POOLING AREA	1320	0	YI3/YK3				
D	"AXIS OPERATING COMPANY, LLC"	826334729	N	FT	1006630	10/1/2008	9/30/2009	365	N	1050	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1050	0	YM2				
P	M2	RONNY CDP	95	170402	NORTH POOLING AREA	1050	0					
P	MQ	AXIS OPERATING ACCT	95	13823	NORTH POOLING AREA	1050	0	YI3/YK3				
D	BAD BOY INC	98440725	N	FT	1010320	4/1/2015	3/31/2016	365	N	75	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	75	0					
P	MQ	BAD BOY INC ACCT	95	15059	NORTH POOLING AREA	75	0	YI3/YK3				
D	BAPTIST HEALTH - BAPTIST HEALTH MEDICAL CENTER- ARKADELPHIA	605247535	N	FT	1007355	10/1/2009	3/31/2012	365	N	72	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	72	0					
P	MQ	BAPTIST HLTH MED-ARK AC	95	14441	SOUTH POOLING AREA	72	0	YI3/YK3				
D	BAPTIST HEALTH - BAPTIST HEALTH MEDICAL CENTER- STUTTGART	76564487	N	FT	1007216	7/1/2009	3/31/2012	365	N	195	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	195	0					
P	MQ	BAPTIST HLTH MED-STUT A	95	14442	NORTH POOLING AREA	195	0	YI3/YK3				
D	BAPTIST HEALTH MEDICAL CENTER - CONWAY	53463883	N	FT	1011077	6/1/2017	3/31/2019		N	100	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
A	"BERNHARD TME, LLC"	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	100	0					
P	MQ	BAPTIST HLTH CON ACCT	95	18367	NORTH POOLING AREA	100	0	YI3/YK3				
D	BAPTIST HEALTH SYSTEM - BAPTIST HEALTH EYE CENTER	942058736	N	FT	1008521	1/1/2011	3/31/2012	365	N	35	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	35	0					
P	MQ	BAPTIST HLTH EYE -ACCT	95	13156	NORTH POOLING AREA	35	0	YI3/YK3				
D	BAPTIST HEALTH SYSTEM - BAPTIST HEALTH LAUNDRY	43556760	N	FT	1008522	1/1/2011	3/31/2012	365	N	85	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	85	0					
P	MQ	BAPTIST HLTH LAUNDRY-AC	95	13157	NORTH POOLING AREA	85	0	YI3/YK3				
D	BAPTIST HEALTH SYSTEM - BAPTIST HEALTH MEDICAL CENTER - LITTLE ROCK	72394005	N	FT	1008520	1/1/2011	3/31/2012	365	N	850	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	850	0					
P	MQ	BAPTIST HLTH MED -ACCT	95	11327	NORTH POOLING AREA	850	0	YI3/YK3				
D	BAPTIST HEALTH SYSTEM - BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK	188806207	N	FT	1008532	1/1/2011	3/31/2012	365	N	250	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	250	0					
P	MQ	BAPTIST HLTH MED-NLR AC	95	13155	NORTH POOLING AREA	250	0	YI3/YK3				
D	BAPTIST HEALTH SYSTEM - PARKWAY VILLAGE	158339697	N	FT	1008518	1/1/2011	3/31/2012	365	N	119	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	119	0					
P	MQ	PARKWAY VILLAGE-ACCT	95	13158	NORTH POOLING AREA	119	0	YI3/YK3				
D	BAPTIST HEALTH- BAPTIST HEALTH MEDICAL CENTER- HEBER SPRINGS	40857542	N	FT	1009037	11/1/2011	3/31/2019		N	62	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	62	0					
P	MQ	BAPTIST HLTH HEBER ACCT	95	15131	NORTH POOLING AREA	62	0	YI3/YK3				
D	BAR-S FOODS CO	48804504	N	FT	1001148	11/1/1993	5/31/2014	365	N	1050	0	
A	ALLIANCE ENERGY SERVICES	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	1050	0					
P	MQ	BAR S FOODS-ACCT@ALTUS	95	11383	WEST POOLING AREA 1	1050	0	YI3/YK3				
D	BAR-S FOODS CO	48804504	N	FT	1002166	3/1/1998	5/31/2014	365	N	600	0	
A	ALLIANCE ENERGY SERVICES	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	600	0					
P	MQ	BAR S FOODS-ACCT@LAWTON	95	12621	WEST POOLING AREA 2	600	0	YI3/YK3				
D	BASF CORPORATION	1307032	N	FT	1001133	11/1/1993	2/28/1994	31	N	470	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	470	0					
P	MQ	CPS CHEMICAL CO - ACCT	95	11351	NORTH POOLING AREA	470	0	YI3/YK3				
D	BENTELER STEEL/TUBE MANUFACTURING CORP	79108105	N	FT	1010036	9/1/2014	9/30/2020		N	6000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	6000	0	YM2				
P	M2	PORT DEHY CTP	95	14982	SOUTH POOLING AREA	1000	0					
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	5000	0					
P	MQ	BENTELER STEEL ACCT	95	15701	SOUTH POOLING AREA	6000	0	YI3/YK3				
D	BENTON & BROWN INC	107303190	N	FT	1004863	4/1/2006	4/30/2011	365	N	100	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	100	0					
P	MQ	BENTON & BROWN@BC-ACCT	95	13108	SOUTH POOLING AREA	100	0	YI3/YK3				
D	BERRY PLASTICS CORPORATION	623327731	N	FT	1007369	10/1/2009	3/31/2012	365	N	147	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	147	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	147	0					
P	MQ	BERRY PLASTICS CORP ACC	95	14577	SOUTH POOLING AREA	147	0	YI3/YK3				
D	BH ST CHARLES PLACE LP	9485928	N	FT	1009566	10/1/2012	3/31/2016	365	N	51	0	
A	"PRO ENERGY PARTNERS, LP"	N										
A	CIMA ENERGY LP	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	51	0					
P	MQ	BH ST CHARLES ACCT	95	15464	SOUTH POOLING AREA	51	0	YI3/YK3				
D	BIG COUNTRY CHATEAU LLC	5730654	N	FT	1009116	1/1/2012	3/31/2019		N	32	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	32	0					
P	MQ	BIG COUNTRY CHATEAU ACC	95	15201	NORTH POOLING AREA	32	0	YI3/YK3				
D	BIG RIVER STEEL LLC	79550317	N	FT	1010420	4/1/2016	5/31/2036		N	15000	0	
A	"KOCH ENERGY SERVICES, LLC"	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	15000	0	YM2				
P	M2	EOIT NEUTRAL IC	95	12261	NEUTRAL POOLING AREA	15000	0					
P	MQ	BLACK HILLS @ PLUM POIN	95	170184	NORTH POOLING AREA	15000	0					
D	BIG TEX TRAILER MANUFACTURING INC	109208918	N	FT	1009073	12/1/2011	3/31/2019		N	193	0	
A	"OKLAHOMA ENERGY SOURCE, LLC"	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	193	0					
P	MQ	BIG TEX TRAILER MFG ACC	95	15170	SOUTH POOLING AREA	193	0	YI3/YK3				
D	BISHOP-CRITES FUNERAL HOME LLC	77275779	N	FT	1010182	4/1/2014	3/31/2019		N	25	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	25	0					
P	MQ	BISHOP CRITES ACC	95	15720	NORTH POOLING AREA	25	0	YI3/YK3				
D	BITEC INC	154236079	N	FT	1007215	7/1/2009	3/31/2012	365	N	116	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	116	0					
P	MQ	BITEC INC ACCT	95	14445	NORTH POOLING AREA	116	0	YI3/YK3				
D	"BKEP TERMINALLING, LLC"	545860	N	FT	1010972	11/1/2016	5/31/2019		N	70	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	70	0					
P	MQ	BKEP MT PLEASANT ACCT	95	15062	SOUTH POOLING AREA	70	0	YI3/YK3				
D	"BLACK HILLS ENERGY ARKANSAS, INC."	98567514	N	FT	1002228	11/1/1998	10/31/2024		N	7500	0	
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	7500	0					
P	MQ	BLACK HILLS AR @ BLYTHE	95	801668	NORTH POOLING AREA	7500	0					
D	"BLACK HILLS ENERGY ARKANSAS, INC."	98567514	N	FT	1003771	11/1/2005	10/31/2026		Y	73000	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	33000	0					
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	40000	0					
P	MQ	BLACK HILLS TO CLARKSVI	95	805451	NORTH POOLING AREA	750	0					
P	MQ	BLACK HILLS  TO PARIS/M	95	805452	NORTH POOLING AREA	5150	0					
P	MQ	BLACK HILLS AR @ OM-1	95	808352	NORTH POOLING AREA	67100	0					
D	BLACK HILLS UTILITY HOLDINGS INC.	809024784	N	FT	1006439	7/14/2008	3/31/2021		N	16350	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	11350	0	YM2				
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	5000	0	YM2				
P	M2	MARKWEST BUFFALO CRK PL	95	730040	WEST POOLING AREA 1	5000	0					
P	MQ	PEOPLES @ HUNNEWELL IC	95	11974	WEST POOLING AREA 1	15849	0					
P	MQ	PEOPLES - TAP	95	771000	WEST POOLING AREA 1	1	0					
P	MQ	PEOPLES DEL @ WINFIELD	95	771001	WEST POOLING AREA 1	250	0					
P	MQ	PEOPLES TB/RE DELIV SUM	95	805241	WEST POOLING AREA 1	250	0					
D	BLACKSTONE CONSTRUCTION LLC	135880476	N	FT	1007620	3/1/2010	2/28/2014	365	N	500	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	500	0					
P	MQ	BLACKSTONE CONST ACCT#2	95	12823	NORTH POOLING AREA	400	0	YI3/YK3				
P	MQ	BLACKSTONE CONST ACCT#1	95	15507	NORTH POOLING AREA	100	0	YI3/YK3				
D	"BLUE CUBE OPERATIONS, LLC"	79986313	N	FT	1010880	7/1/2016	3/31/2018	365	N	141	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	141	0					
P	MQ	BLUE CUBE OPS ACCT	95	15203	NORTH POOLING AREA	141	0	YI3/YK3				
D	"BLUEMARK ENERGY, LLC"	79355972	N	FT	1010946	10/1/2016	4/30/2018		N	230	0	
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	230	0					
P	MQ	LINEN KING ACCT	95	13025	NORTH POOLING AREA	110	0	YI3/YK3				
P	MQ	BLACK HILLS AR @ OM-1	95	808352	NORTH POOLING AREA	120	0					
D	BOARS HEAD PROVISIONS CO INC	1374297	N	FT	1004235	4/1/2005	5/31/2019		N	400	0	
A	THE LEGACY ENERGY GROUP LLC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	400	0					
P	MQ	BOAR'S HEAD - ACCT	95	13113	NORTH POOLING AREA	400	0	YI3/YK3				
D	"BONNIE PLANTS, INC"	604488762	N	FT	1010144	3/1/2014	3/31/2018	365	N	69	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	69	0					
P	MQ	BONNIE PLANTS ACCT	95	15663	NORTH POOLING AREA	69	0	YI3/YK3				
D	"BOSSIER CASINO VENTURE, INC. DBA MARGARITAVILLE RESORT CASINO"	78413065	N	FT	1010405	1/1/2015	12/31/2018		N	156	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	156	0					
P	MQ	BOSSIER MARG CASINO ACC	95	15800	SOUTH POOLING AREA	156	0	YI3/YK3				
D	BOSSIER PARISH POLICE JURY	557431020	N	FT	1008042	7/1/2010	3/31/2012	365	N	80	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	80	0					
P	MQ	BOSSIER PARISH POLI ACC	95	14805	SOUTH POOLING AREA	80	0	YI3/YK3				
D	BOSSIER PARISH POLICE JURY	557431020	N	FT	1009452	7/1/2012	3/31/2016	365	N	37	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	37	0					
P	MQ	BOSSIER PAR POL PD ACCT	95	15365	SOUTH POOLING AREA	37	0	YI3/YK3				
D	BOSSIER PARISH SHERIFFS DEPARTMENT	877780796	N	FT	1009521	9/1/2012	3/31/2016	365	N	49	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	49	0					
P	MQ	BOSSIER PAR SHERIFF ACC	95	15434	SOUTH POOLING AREA	49	0	YI3/YK3				
D	BP ENERGY COMPANY	625275755	N	FT	1009950	11/1/2013	12/31/2020		N	35000	0	
P	M2	LINE CP POINTS AND POOLS			LINE CP POINTS AND P	35000	0	YM2				
P	M2	EMP WASKOM PLANT ST-21	95	220040	LINE CP POINTS AND P	35000	0					
P	MQ	SESH 42 HEADER DEL	95	898400	LINE CP POOLING AREA	30000	0					
P	MQ	SESH/SONAT HEADER DEL	95	898501	LINE CP POOLING AREA	5000	0					
D	BP ENERGY COMPANY	625275755	N	FT	1010893	7/1/2016	2/28/2021		N	65000	0	
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	65000	0	YM2				
P	M2	EGG MCCLURE IC	95	301104	WEST POOLING AREA 1	2000	0					
P	M2	MARKWEST BUFFALO CRK PL	95	730040	WEST POOLING AREA 1	63000	0					
P	MQ	SESH FM-65 CORE DEL	95	898401	SOUTH POOLING AREA	65000	0					
D	BRIDGESTONE AMERICAS TIRE OPERATIONS LLC	1288109	N	FT	1007441	4/1/2010	3/31/2012	365	N	150	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	150	0					
P	MQ	BRIDGESTONE TIRE ACCT	95	11336	NORTH POOLING AREA	150	0	YI3/YK3				
D	BRIM HEALTHCARE OF TEXAS LLC	830207796	N	FT	1006275	5/1/2008	3/31/2012	365	N	520	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	520	0					
P	MQ	BRIM HEALTHCARE ACCT	95	13803	SOUTH POOLING AREA	520	0	YI3/YK3				
D	BRIM HOLDING COMPANY INC DBA WADLEY REGIONAL MEDICAL CENTER AT HOPE	786280667	N	FT	1009599	12/1/2012	11/30/2013	365	N	81	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	81	0					
P	MQ	BRIM HOLDING CO INC ACC	95	15483	SOUTH POOLING AREA	81	0	YI3/YK3				
D	BROOKLAND SCHOOL DISTRICT	938696622	N	FT	1010363	11/1/2014	10/31/2018		N	15	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	15	0					
P	MQ	BROOKLAND SCHOOL ACCT	95	15758	NORTH POOLING AREA	15	0	YI3/YK3				
D	BUCK HARRIS DBA H & S FARM	137335548	N	FT	1009447	8/1/2012	3/31/2015	365	N	20	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	20	0					
P	MQ	BUCK HARRIS H&S ACCT	95	15387	NORTH POOLING AREA	20	0	YI3/YK3				
D	BUTTERBALL LLC	122262280	N	FT	1005276	11/1/2006	12/31/2007	365	N	350	0	
A	THE LEGACY ENERGY GROUP LLC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	350	0					
P	MQ	BUTTERBALL ACCT	95	11255	NORTH POOLING AREA	350	0	YI3/YK3				
D	CALION LUMBER CO INC	6300297	N	FT	1010308	4/1/2015	3/31/2016	365	N	65	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	65	0					
P	MQ	CALION LUMBER CO ACCT	95	15051	SOUTH POOLING AREA	65	0	YI3/YK3				
D	"CALUMET REFINING, LLC"	620499699	N	FT	1003969	9/1/2004	12/31/2023		N	7000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	7000	0					
P	MQ	CALUMET SHREVEPORT	95	481100	SOUTH POOLING AREA	3000	0					
P	MQ	"CALUMET PRINCETON,LA"	95	801508	SOUTH POOLING AREA	4000	0					
D	CAMDEN HOUSING AUTHORITY	142496582	N	FT	1010298	4/1/2015	3/31/2016	365	N	95	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	95	0					
P	MQ	CAMDEN FORT LOCKOUT ACC	95	15171	SOUTH POOLING AREA	22	0	YI3/YK3				
P	MQ	CAMDEN LINCOLN CTR ACC	95	15172	SOUTH POOLING AREA	40	0	YI3/YK3				
P	MQ	CAMDEN IVORY HEIGHTS AC	95	15173	SOUTH POOLING AREA	33	0	YI3/YK3				
D	CAMERON CONSTRUCTION CO INC	130446776	N	FT	1007144	6/1/2009	3/31/2012	365	N	20	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	20	0					
P	MQ	CAMERON CONST CO INC AC	95	14459	NORTH POOLING AREA	20	0	YI3/YK3				
D	CAMERON INTERNATIONAL CORPORATION	626152545	N	FT	1008487	1/1/2011	3/31/2012	365	N	71	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	71	0					
P	MQ	CAMERON INTL CORP ACCT	95	14791	NORTH POOLING AREA	71	0	YI3/YK3				
D	CAMERON UNIVERSITY	20723227	N	FT	1001145	11/1/1993	10/31/2014	365	N	400	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	400	0					
P	MQ	CAMERON UNIV-ACCT	95	11374	WEST POOLING AREA 2	400	0	YI3/YK3				
D	CAMFIL FARR INC DBA FARR AIR POLLUTION CONTROL	148253552	N	FT	1007264	8/1/2009	3/31/2012	365	N	38	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	38	0					
P	MQ	CAMFIL FARR INC DBA ACC	95	14447	NORTH POOLING AREA	38	0	YI3/YK3				
D	"CAREY JOHNSON OIL COMPANY, INC."	32970097	N	FT	1010454	3/1/2015	3/31/2019		N	10	0	
A	MUSTANG FUEL MARKETING COMPANY	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	10	0					
