H	"Columbia Gas Transmission, LLC"	C000306          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
P	M2	RP Storage Point TCO	95	STOR	TCO     	4113			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	4113			 	 	 	 
D	"Chesapeake Utilities Corporation, Delaware Division"	11003936	N       	FSS     	80983	4/1/2005	3/31/2020	 	N		472250	 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
D	"Chesapeake Utilities Corporation, Maryland Division"	131486508	N       	FTS     	6630	2/1/2009	1/31/2019	 	N	2500		 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	MILFORD-21          	95	B18	TCO     	2500			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	2500			 	 	 	 
D	"Chesapeake Utilities Corporation, Maryland Division"	131486508	N       	FTS     	57751	11/1/1997	10/31/2024	 	N	1700		 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1700			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	1700			 	 	 	 
D	"Chesapeake Utilities Corporation, Maryland Division"	131486508	N       	SST     	57859	11/1/1997	3/31/2019	 	N	3138		 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	3138			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	3138			 	 	 	 
D	"Chesapeake Utilities Corporation, Maryland Division"	131486508	N       	FSS     	57866	11/1/1997	3/31/2019	 	N		415648	 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
D	City Of Carlisle	89703920	N       	GTS     	37985	11/1/1993	10/31/1994	365	N	2300	75654	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	767			 	 	 	 
P	MQ	CITY OF CARLISLE    	95	100CARL	TCO     	2300			 	 	 	 
D	"City of Charlottesville, Virginia"	74745829	N       	SST     	6801	4/1/2009	3/31/2024	 	N	2675		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	2675			 	 	 	 
P	MQ	CHARLOTTESVILLE CITY	95	12	TCO     	2675			 	 	 	 
D	"City of Charlottesville, Virginia"	74745829	N       	FSS     	6890	4/1/2009	3/31/2024	 	Y		322766	 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
D	"City of Charlottesville, Virginia"	74745829	N       	FTS     	155330	11/1/2014	10/31/2029	 	N	7500		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	7500			 	 	 	 
P	MQ	CHARLOTTESVILLE CITY	95	12	TCO     	7500			 	 	 	 
D	"City of Charlottesville, Virginia"	74745829	N       	FSS     	157990	11/1/2014	10/31/2029	 	N		838293	 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
D	"City of Charlottesville, Virginia"	74745829	N       	SST     	157991	11/1/2014	10/31/2029	 	N	9703		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	9703			 	 	 	 
P	MQ	CHARLOTTESVILLE CITY	95	12	TCO     	17203			 	 	 	 
D	"City of Flemingsburg, Kentucky"	83373589	N       	GTS     	37981	11/1/1993	10/31/1994	365	N	1900	62527	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Gasco, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	633			 	 	 	 
P	MQ	FLEMINGSBURG CITY OF	95	39	TCO     	1900			 	 	 	 
D	"City of Lancaster, Ohio"	194186078	N       	FTS     	155323	11/1/2014	10/31/2019	 	N	1394		 
P	M2	TCO-LEACH	95	801	TCO     	1394			 	 	 	 
P	MQ	CITY OF LANCASTER - 5 	95	45-5	TCO     	1394			 	 	 	 
D	"City of Lancaster, Ohio"	194186078	N       	FTS     	155324	11/1/2014	10/31/2019	 	N	3891		 
P	M2	TCO-LEACH	95	801	TCO     	3891			 	 	 	 
P	MQ	"LANCASTER,CITY OF-9 "	95	45-9	TCO     	3891			 	 	 	 
D	"City of Lancaster, Ohio"	194186078	N       	SST     	185861	6/1/2017	5/31/2023	 	N	7889		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	7889			 	 	 	 
P	MQ	CITY OF LANCASTER - 5 	95	45-5	TCO     	4065			 	 	 	 
P	MQ	CITY OF LANCASTER - 8	95	45-8	TCO     	219			 	 	 	 
P	MQ	"LANCASTER,CITY OF-9 "	95	45-9	TCO     	8891			 	 	 	 
D	"City of Lancaster, Ohio"	194186078	N       	FSS     	185862	6/1/2017	5/31/2023	 	N		882935	 
D	"City Of Richmond, Virginia"	9952995	N       	X-131   	35887	11/1/1990	3/31/2004	365	N	35800		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	RICHMOND CITY OF    	95	30RV	TCO     	35800			 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	35800			 	 	 	 
P	MQ	RICHMOND CITY OF    	95	30RV	TCO     	35800			 	 	 	 
P	MQ	RP Storage Point TCO	95	STOR	TCO     	35800			 	 	 	 
D	"City Of Richmond, Virginia"	9952995	N       	FSS     	68541	6/1/2000	3/31/2025	 	N		285000	 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
D	"City Of Richmond, Virginia"	9952995	N       	SST     	68542	6/1/2000	3/31/2025	 	N	2500		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	2500			 	 	 	 
P	MQ	RICHMOND CITY OF    	95	30RV	TCO     	2500			 	 	 	 
D	"City Of Richmond, Virginia"	9952995	N       	FTS     	78193	11/1/2004	10/31/2024	 	N	50979		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	50979			 	 	 	 
P	MQ	RICHMOND CITY OF    	95	30RV	TCO     	50979			 	 	 	 
D	"City Of Richmond, Virginia"	9952995	N       	SST     	78194	11/1/2004	3/31/2025	 	N	20956		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	20956			 	 	 	 
P	MQ	RICHMOND CITY OF    	95	30RV	TCO     	74314			 	 	 	 
D	"City Of Richmond, Virginia"	9952995	N       	FSS     	78195	11/1/2004	3/31/2025	 	N		2473266	 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
D	"City Of Richmond, Virginia"	9952995	N       	FT-C    	155679	9/1/2014	8/31/2034	 	Y	10032		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	"EMPORIA, VA-34      "	95	E13	TCO     	10032			 	 	 	 
P	MQ	RICHMOND CITY OF    	95	30RV	TCO     	10032			 	 	 	 
D	Clay County Gas Company	SR 4221108	N       	FTS     	10231	8/1/2009	3/31/2020	 	Y	75		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Cobb	95	CNR18	TCO     	75			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	75			 	 	 	 
D	"Clean Gas, Inc."	829953988	N       	FTS     	83994	7/1/2005	12/31/2099	 	N	497		 
A	Hayden Harper Energy KA LLC	N       		 	 	 	 	 	 	 	 	 
A	Southern Energy L.L.C.	N       		 	 	 	 	 	 	 	 	 
A	Stand Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	BEAVER CREEK-16     	95	H1	TCO     	497			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	497			 	 	 	 
D	"Clean Gas, Inc."	829953988	N       	FTS     	130440	3/23/2012	12/31/2099	 	N	492		 
A	Hayden Harper Energy KA LLC	N       		 	 	 	 	 	 	 	 	 
A	Southern Energy L.L.C.	N       		 	 	 	 	 	 	 	 	 
A	Stand Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	HI-HAT/EQUITABLE-16 	95	F3	TCO     	492			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	492			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	23835	2/1/2011	3/31/2022	 	N	500		 
P	M2	TCO-LEACH	95	801	TCO     	500			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	500			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	23861	5/1/2011	3/31/2022	 	N	6503		 
P	M2	TCO-LEACH	95	801	TCO     	6503			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	6503			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	153565	9/1/2014	3/31/2019	 	N	2500		 
P	M2	TCO-LEACH	95	801	TCO     	2500			 	 	 	 
P	MQ	COL GAS OH OP 07-9  	95	23-9	TCO     	2500			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	159539	4/1/2015	3/31/2021	 	N	2300		 
P	M2	TCO-LEACH	95	801	TCO     	2300			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	300			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	2000			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	160409	4/1/2015	3/31/2019	 	N	1525		 
P	M2	TCO-LEACH	95	801	TCO     	1525			 	 	 	 
P	MQ	COL GAS OH OP 07-4  	95	23-4	TCO     	1525			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	161115	5/1/2015	4/30/2021	 	N	2200		 
P	M2	TCO-LEACH	95	801	TCO     	2200			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	2200			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	165925	11/1/2015	10/31/2019	 	N	3661		 
P	M2	Fairfield - REX	95	740178	TCO     	3661			 	 	 	 
P	MQ	DAYTON-6            	95	33-6	TCO     	3661			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	166436	11/1/2015	10/31/2022	 	N	944		 
P	M2	CRAWFORD AGG POINT 08	95	A08	TCO     	944			 	 	 	 
P	MQ	COL GAS PA 04-25	95	2.50E-24	TCO     	944			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	166518	11/1/2015	10/31/2019	 	N	1065		 
P	M2	TCO POOL	95	P10	TCO     	1065			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	1065			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	171890	5/1/2016	10/31/2019	 	N	2000		 
P	M2	TCO POOL	95	P10	TCO     	2000			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	2000			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	171891	5/1/2016	10/31/2019	 	N	474		 
P	M2	TCO POOL	95	P10	TCO     	474			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	474			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	172602	1/14/2016	3/31/2019	 	N	1000		 
P	M2	TCO-LEACH	95	801	TCO     	1000			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	1000			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	172690	6/1/2016	3/31/2032	 	N	800		 
P	M2	TCO-LEACH	95	801	TCO     	800			 	 	 	 
P	MQ	COL GAS MD OP-4-25  	95	19E	TCO     	800			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	176690	5/10/2016	12/31/2020	 	N	2100		 
P	M2	TCO POOL	95	P10	TCO     	2100			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	2100			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	197658	4/1/2018	3/31/2019	 	N	333		 
P	M2	TCO-LEACH	95	801	TCO     	333			 	 	 	 
P	MQ	COL GAS PA 08-36    	95	25-36	TCO     	333			 	 	 	 
D	"CNE Gas Supply, LLC"	829868921	N       	FTS     	198785	1/1/2018	3/31/2019	 	N	510		 
P	M2	Fairfield - REX	95	740178	TCO     	510			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	510			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	2091	11/1/2008	10/31/2028	 	N	200		 
A	Consol Energy Inc.	N       		 	 	 	 	 	 	 	 	 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	CONSOL-DEFEATS BR   	95	P2	TCO     	200			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	200			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	3868	9/18/2008	9/17/2048	 	N	4000		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	Grapevine Ridge	95	640033	TCO     	4000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	4000			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	3869	9/18/2008	9/17/2048	 	N	34000		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
A	"Direct Energy Business Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	Green Energy CNX Gas            	95	634679	TCO     	14000			 	 	 	 
P	M2	WAYNESBURG          	95	C14	TCO     	20000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	34000			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	8900	11/1/2009	10/31/2024	 	Y	50000		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	CONOCO-GRANT        	95	P1	TCO     	50000			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	4445			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	1218			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	4130			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	16604			 	 	 	 
P	MQ	COL GAS OH OP 07-9  	95	23-9	TCO     	9675			 	 	 	 
P	MQ	DAYTON-6            	95	33-6	TCO     	5691			 	 	 	 
P	MQ	DUKE OHIO - 6	95	14	TCO     	3370			 	 	 	 
P	MQ	"LANCASTER,CITY OF-9 "	95	45-9	TCO     	1050			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	2767			 	 	 	 
P	MQ	PARAMOUNT                   	95	733088	TCO     	1050			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	25294	3/1/2011	10/31/2028	 	N	888		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	CNX-Wilson/Deems	95	640133	TCO     	888			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	888			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	81721	5/1/2005	3/31/2021	 	N	10000		 
A	"CNE Gas Supply, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Consol Energy Inc.	N       		 	 	 	 	 	 	 	 	 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	CONOCO-GRANT        	95	P1	TCO     	10000			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	10000			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	84377	12/1/2005	10/31/2020	 	N	22217		 
A	Consol Energy Inc.	N       		 	 	 	 	 	 	 	 	 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	CONOCO-GRANT        	95	P1	TCO     	22217			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	22217			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	90157	11/1/2006	9/30/2024	 	N	1200		 
A	Consol Energy Inc.	N       		 	 	 	 	 	 	 	 	 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	Green Energy CNX Gas            	95	634679	TCO     	1200			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	1200			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	96648	12/1/2007	12/31/2022	 	N	200		 
A	Consol Energy Inc.	N       		 	 	 	 	 	 	 	 	 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	CONSOL-DEFEATS BR   	95	P2	TCO     	200			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	200			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	154899	7/1/2014	10/31/2024	 	Y	20000		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	CONSOL-DEFEATS BR   	95	P2	TCO     	20000			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	18267			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	1733			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	184333	12/1/2016	9/17/2048	 	N	26000		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	WAYNESBURG          	95	C14	TCO     	26000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	26000			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	184334	12/1/2016	9/30/2024	 	N	1200		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	Green Energy CNX Gas            	95	634679	TCO     	1200			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	1200			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	186926	1/1/2018	12/31/2032	 	Y	50000		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
A	"Eco-Energy, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"NextEra Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	Sherwood1	95	642645	TCO     	50000			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	50000			 	 	 	 
D	CNX Gas Company LLC	88111906	N       	FTS     	188621	4/1/2017	8/31/2023	 	N	10000		 
A	CONSOL Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	Cassidy Mountain	95	842549	TCO     	10000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	10000			 	 	 	 
D	Cobra Petroleum Production Corporation	806766317	N       	FTS     	79745	9/1/2004	8/31/2024	 	N	460		 
A	"CNE Gas Supply, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Constellation Energy Services ?혀 Natural Gas, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Constellation Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
A	Mid-Atlantic Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	Cobra/Lindsey Elliott Master	95	COBRALE	TCO     	460			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	460			 	 	 	 
D	Cobra Petroleum Production Corporation	806766317	N       	FTS     	83648	10/1/2005	9/30/2020	 	N	350		 
A	"CNE Gas Supply, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Constellation Energy Services ?혀 Natural Gas, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Constellation Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
A	Mid-Atlantic Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK-Beaver Creek/Warco	95	CNR01	TCO     	350			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	350			 	 	 	 
D	"Columbia Gas of Kentucky, Inc."	7944481	N       	SST     	80160	11/1/2004	3/31/2020	 	N	95440		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	95440			 	 	 	 
P	MQ	COL GAS OF KY 03-15 	95	17-15	TCO     	7833			 	 	 	 
P	MQ	COL GAS OF KY 03-16 	95	17-16	TCO     	1589			 	 	 	 
P	MQ	COL GAS OF KY 03-18 	95	17-18	TCO     	599			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	14254			 	 	 	 
P	MQ	COL GAS OF KY 06-11 	95	18-11	TCO     	4058			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	51331			 	 	 	 
P	MQ	COL GAS OF KY 06-13 	95	18-13	TCO     	1807			 	 	 	 
P	MQ	LEXINGTON MUTH                  	95	805095	TCO     	32923			 	 	 	 
D	"Columbia Gas of Kentucky, Inc."	7944481	N       	FSS     	80171	11/1/2004	3/31/2020	 	N		11264911	 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
D	"Columbia Gas of Kentucky, Inc."	7944481	N       	FTS     	81527	4/1/2005	3/31/2020	 	N	20014		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	20014			 	 	 	 
P	MQ	COL GAS OF KY 03-15 	95	17-15	TCO     	20014			 	 	 	 
D	"Columbia Gas of Kentucky, Inc."	7944481	N       	SST     	81540	4/1/2005	3/31/2020	 	N	15000		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	15000			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	15000			 	 	 	 
D	"Columbia Gas Of Maryland, Inc."	8781643	N       	SST     	50672	11/1/1999	3/31/2020	 	N	589		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	589			 	 	 	 
P	MQ	COL GAS OF MD 08-27 	95	19-27	TCO     	442			 	 	 	 
P	MQ	COL GAS OF MD 08-32 	95	19-32	TCO     	147			 	 	 	 
D	"Columbia Gas Of Maryland, Inc."	8781643	N       	FTS     	80025	11/1/2004	3/31/2020	 	N	15012		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	15012			 	 	 	 
P	MQ	COL GAS MD OP-4-25  	95	19E	TCO     	15012			 	 	 	 
P	MQ	COL GAS OF MD 08-26 	95	19-26	TCO     	8905			 	 	 	 
P	MQ	COL GAS OF MD 08-27 	95	19-27	TCO     	15012			 	 	 	 
P	MQ	COL GAS OF MD 08-32 	95	19-32	TCO     	2543			 	 	 	 
D	"Columbia Gas Of Maryland, Inc."	8781643	N       	SST     	82247	4/1/2005	3/31/2020	 	N	16261		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	16261			 	 	 	 
P	MQ	COL GAS MD OP-4-25  	95	19E	TCO     	19110			 	 	 	 
P	MQ	COL GAS OF MD 08-26 	95	19-26	TCO     	6626			 	 	 	 
P	MQ	COL GAS OF MD 08-27 	95	19-27	TCO     	17536			 	 	 	 
P	MQ	COL GAS OF MD 08-32 	95	19-32	TCO     	1784			 	 	 	 
D	"Columbia Gas Of Maryland, Inc."	8781643	N       	FSS     	82248	4/1/2005	3/31/2020	 	N		1867560	 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
D	"Columbia Gas Of Maryland, Inc."	8781643	N       	FTS     	168668	10/1/2015	10/31/2022	 	N	1666		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	1666			 	 	 	 
P	MQ	COL GAS MD OP-4-25  	95	19E	TCO     	1666			 	 	 	 
D	"Columbia Gas Of Maryland, Inc."	8781643	N       	FTS     	168669	10/1/2015	10/31/2021	 	N	3334		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	3334			 	 	 	 
P	MQ	COL GAS MD OP-4-25  	95	19E	TCO     	3334			 	 	 	 
D	"Columbia Gas of Ohio, Inc."	4773586	N       	SST     	3044	8/1/2008	3/31/2023	 	N	722551		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	722551			 	 	 	 
P	MQ	COH Transit Point	95	COHTRANS	TCO     	0			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	158354			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	83154			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	212837			 	 	 	 
P	MQ	COL GAS OH OP 07-3  	95	23-3	TCO     	41684			 	 	 	 
P	MQ	COL GAS OH OP 07-4  	95	23-4	TCO     	34358			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	286788			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	114657			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	75106			 	 	 	 
P	MQ	COL GAS OH OP 07-9  	95	23-9	TCO     	60695			 	 	 	 
P	MQ	COL GAS OH OP 08-35 	95	24-35	TCO     	56019			 	 	 	 
P	MQ	COL GAS OH OP 08-39 	95	24-39	TCO     	385			 	 	 	 
P	MQ	COL GAS OH OP-03    	95	22	TCO     	11120			 	 	 	 
D	"Columbia Gas of Ohio, Inc."	4773586	N       	FSS     	3045	8/1/2008	3/31/2023	 	N		80441913	 
D	"Columbia Gas of Ohio, Inc."	4773586	N       	FTS     	80152	11/1/2004	3/31/2023	 	N	153186		 
P	M2	TCO-LEACH	95	801	TCO     	153186			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	153186			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	149126			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	153186			 	 	 	 
P	MQ	COL GAS OH OP 07-3  	95	23-3	TCO     	74755			 	 	 	 
P	MQ	COL GAS OH OP 07-4  	95	23-4	TCO     	61616			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	153186			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	153186			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	134693			 	 	 	 
P	MQ	COL GAS OH OP 07-9  	95	23-9	TCO     	108849			 	 	 	 
P	MQ	COL GAS OH OP 08-35 	95	24-35	TCO     	91830			 	 	 	 
P	MQ	COL GAS OH OP 08-39 	95	24-39	TCO     	690			 	 	 	 
