H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	680						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	680						
D	"CITY OF FLORENCE, ALABAMA"	79124780	N	FT-1	911164-R1	11/1/2015	10/31/2020		N	13000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"FLORENCE, AL"	95	70299	1	13000						
P	M2	ELA CUSTODY TRANSFER POINT	95	79968	ELA	13000						
D	CNX GAS COMPANY LLC	88111906	N	LLFT	870274-R2	9/1/2015	10/31/2025		N	47143		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	PEPL/TETCO (LEBANON LATERAL-TETCO C	95	72770	2	47143						
P	MQ	"PEPL-GAS CITY DELIVERY/ROUTE 26, GR"	95	74903	2	47143						
D	CNX GAS COMPANY LLC	88111906	N	FT-1	911131-R1	9/1/2014	8/31/2035		N	30000		
P	M2	"CNX - MCQUAY III - CONE GATHERING,"	95	73733	2	30000						
P	MQ	SESH (D73584/R73583)	95	75583	ELA	10000						
P	MQ	ELA CUSTODY TRANSFER POINT	95	79968	ELA	20000						
D	CNX GAS COMPANY LLC	88111906	N	FT-1OPN	911219-R2	11/20/2015	11/19/2035		Y	50000		
P	M2	"CNX - MCQUAY III - CONE GATHERING,"	95	73733	2	50000						
P	M2	"MOMENTUM KENSINGTON / HIGHWAY 644,"	95	74200	2	50000						
P	MQ	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	25000						
P	MQ	"CHENIERE LNG, BEAUREGARD PA,LA (D-7"	95	75866	WLA	25000						
D	CNX GAS COMPANY LLC	88111906	N	FT-1	911225-R2	9/1/2015	10/31/2025		N	47143		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	"CNX - MCQUAY III - CONE GATHERING,"	95	73733	2	47143						
P	MQ	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	47143						
D	"COBDEN, IL, VILLAGE OF"	143479751	N	SCT	800011-R1	11/1/1993	10/31/2012	365	N	450		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"JONESBORO, IL"	95	71362	1	450						
D	"COGEN TECHNOLOGIES LINDEN VENTURE, L.P."	6394	N	MLS-1BW	911431-R1	1/1/2018	12/31/2037		Y	234000		YA1
A	EDF ENERGY SERVICES LLC	N										
A	"EDF TRADING NORTH AMERICA, LLC"	N										
P	MQ	LINDEN COGEN BAYWAY	95	73909	3	234000						
P	M2	BAYWAY LATERAL	95	79977	3	234000						
D	"COLONIAL ENERGY, INC"	939065520	N	FT-1	911449-R1	11/1/2017	10/31/2018		Y	15000		
P	M2	STECKMAN RIDGE (73605D INJ/73606R W	95	75605	3	15000						
P	MQ	COMPRESSOR STATION 21A (UNIONTOWN)	95	79921	2	15000						
D	"COLONIAL ENERGY, INC"	939065520	N	FT-1	911450-R1	11/1/2017	10/31/2018		Y	15000		
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ (RECEI"	95	76087	3	15000						
P	MQ	UNIONTOWN NORTH	95	79980	2	15000						
D	"COLONIAL ENERGY, INC"	939065520	N	FT-1	911486-R1	4/1/2018	3/31/2019		Y	30000		
P	M2	STECKMAN RIDGE (73605D INJ/73606R W	95	75605	3	30000						
P	MQ	COMPRESSOR STATION 21A (UNIONTOWN)	95	79921	2	30000						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FTS-7	331700-R1	11/1/2001	4/15/2005	365	N	3016		L4
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	3016						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	3016						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	3016						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	3016						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	3016						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	3016						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FTS-8	331800-R1	6/1/1993	3/31/2006	365	N	985		
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	515						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	515						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	515						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	985						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	985						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	515						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	515						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	515						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	515						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	985						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	985						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	515						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	515						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	515						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	515						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	470						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	470						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	SS-1	400200-R2	5/1/2010	4/30/2015	365	N		493486	L105
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		3175					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		4909					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		2537	YN21				
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FT-1	800313-R2	5/1/2010	10/31/2015	365	N	9869		L4
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	9869						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	9854						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	1951						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	2372						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FT-1	800400-R2	5/1/2010	10/31/2015	365	N	2326		L8
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2326						
P	M2	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	104						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	2222						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	CDS	800469-R2	5/1/2010	10/31/2015	365	N	10731		L11/X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	10731						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	9734						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	2537						
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	CDS	800387-R2	11/1/2006	10/31/2008	365	N	2342		L7
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"COLUMBIA GAS OF  PA.  - EAGLE, PA"	95	70011	3	2342						
P	MQ	"COLUMBIA GAS OF  PA.  - ROCKWOOD, P"	95	70579	3	287						
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	941						
P	MQ	COLUMBIA GAS OF PA. - YORK CO. PA.	95	71219	3	2342						
P	MQ	COLUMBIA GAS OF  PA.  - PLEASANT GA	95	71363	3	2342						
P	M2	"COLUMBIA GULF - ST. LANDRY PSH., LA"	95	71750	WLA	1401						
P	MQ	COLUMBIA GAS - FRANKLIN CO. PA (DEL	95	73200	3	219						
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	FT-1	830049-R1	12/1/1998	11/30/2002	365	N	0		O32
P	M2	"COLUMBIA GAS OF  PA.  - EAGLE, PA"	95	70011	3	0						
P	MQ	"COLUMBIA GAS OF  PA.  - ROCKWOOD, P"	95	70579	3	0						
P	MQ	COLUMBIA GAS OF  PA.  - PLEASANT GA	95	71363	3	0						
P	MQ	COLUMBIA GAS - FRANKLIN CO. PA (DEL	95	73200	3	0						
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	CDS	910463-R1	11/1/2006	10/31/2012	365	N	158		X2
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	COLUMBIA GAS - FRANKLIN CO. PA (DEL	95	73200	3	158						
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	CDS	910464-R1	11/1/2006	10/31/2012	365	N	5000		X15
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"COLUMBIA GAS OF  PA.  - ROCKWOOD, P"	95	70579	3	2758						
P	MQ	COLUMBIA GAS - FRANKLIN CO. PA (DEL	95	73200	3	2242						
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	FT-1	910951-R2	2/1/2017	10/31/2022		N	14835		L75/X76
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	COLUMBIA GAS - DELMONT (BIDIR 73655	95	75055	2	14835						
D	"COLUMBIA GAS TRANSMISSION, LLC"	29479	N	X-128	008752-R1	9/29/1986	10/31/2000	365	N	80000		YA1
P	MQ	"COLUMBIA GAS - LEBANON, OH"	95	70041	2	80000						
P	MQ	COLUMBIA GAS OF  PA. -  (UNIONTOWN)	95	70056	2	40000						
P	MQ	"DUKE ENERGY OHIO, INC. DICKS CREEK"	95	70521	2	80000						
P	M2	"COL. GAS - FAIRFIELD CO., OH"	95	71616	2	80000						
P	M2	COL GAS-WAYNESBURG - (73152)	95	73152	2	80000						
P	MQ	"COLUMBIA GAS (MFGRS.) - WIND RIDGE,"	95	75013	2	80000						
P	MQ	COLUMBIA GAS - DELMONT (BIDIR 73655	95	75055	2	50000						
D	"COLUMBIA GAS TRANSMISSION, LLC"	29479	N	FT-1	800386-R2	7/1/2011	10/31/2017	365	N	18021		YA1/L7
P	MQ	"COLUMBIA GAS - LEBANON, OH"	95	70041	2	18021						
P	MQ	COLUMBIA GAS OF  PA. -  (UNIONTOWN)	95	70056	2	18021						
P	MQ	"COLUMBIA GAS - HOOKER, OH"	95	70077	2	18021						
P	MQ	"COLUMBIA GAS - SABINA, OH"	95	70081	2	18021						
P	MQ	"COLUMBIA GAS - CORWIN, OH"	95	70468	2	1200						
P	MQ	"DUKE ENERGY OHIO, INC. DICKS CREEK"	95	70521	2	15021						
P	MQ	DUKE ENERGY OHIO INC. MILLVILLE	95	70907	2	1038						
P	MQ	"COLUMBIA GAS - NEW HOLLAND, OH"	95	70984	2	772						
P	MQ	"COL GAS (DPL) -BOWERSVILLE, OH"	95	71028	2	1038						
P	MQ	"COL. GAS - EAST MIDDLETOWN, OH"	95	71353	2	8190						
P	MQ	"CIN GAS & ELEC -BUTLER CO., OH"	95	71993	2	7327						
P	M2	"COL. GAS - MONTGOMERY CO., KY"	95	73195	2	18021						
P	MQ	COLUMBIA GAS - DELMONT (BIDIR 73655	95	75055	2	18021						
P	MQ	NISOURCE MIDSTREAM SERVCS-DRY RIDGE	95	75660	2	18021						
D	"COLUMBIA GAS TRANSMISSION, LLC"	29479	N	FT-1	910270-R3	12/1/2014	10/31/2020		N	1739		YA1/L44/O45
P	M2	"COL. GAS - MONTGOMERY CO., KY"	95	73195	2	1739						
P	MQ	"CGT/NISOURCE-KY - CLARK CO., KY"	95	73329	2	1739						
D	"COLUMBIA GAS TRANSMISSION, LLC"	29479	N	FT-1	910550-R3	12/1/2014	10/31/2020		N	98367		YA1/L53
P	MQ	"DUKE ENERGY OHIO, INC. DICKS CREEK"	95	70521	2	97329						
P	MQ	DUKE ENERGY OHIO INC. MILLVILLE	95	70907	2	1038						
P	M2	"COL. GAS - FAIRFIELD CO., OH"	95	71616	2	98367						
D	"COLUMBIA GAS TRANSMISSION, LLC"	29479	N	FT-1	910587-R2	7/1/2011	10/31/2018		N	80000		YA1/L58/O59
P	MQ	"COLUMBIA GAS OF  PA.  - EAGLE, PA"	95	70011	3	80000						
P	M2	"COLUMBIA GAS - LEBANON, OH"	95	70041	2	0						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	0						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	0						
P	MQ	"UGI UTIL (COLUMBIA GAS) - READING,"	95	70322	3	30000						
P	MQ	UGI UTIL (COLUMBIA GAS) - DAUPHIN C	95	70519	3	30000						
P	M2	"COL. GAS - FAIRFIELD CO., OH"	95	71616	2	0						
P	MQ	"UGI UTIL (COLUMBIA GAS) - BALLY, PA"	95	72571	3	14000						
P	M2	COL GAS-WAYNESBURG - (73152)	95	73152	2	80000						
P	M2	"COL. GAS - MONTGOMERY CO., KY"	95	73195	2	80000						
P	MQ	"COLUMBIA GAS - PENNSBURG, PA (D7057"	95	75577	3	80000						
D	"COLUMBIA, KENTUCKY, CITY OF"	606442333	N	SCT	800012-R1	6/1/1993	10/31/2012	365	N	2067		X47
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"COLUMBIA, KY"	95	70313	2	2067						
D	COMMUNITY NATURAL GAS COMPANY	7814049	N	SCT	800013-R1	6/1/1993	10/31/2012	365	N	1032		X47
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"COMMUNITY GAS - CYNTHIANA, IN"	95	71081	2	1032						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	SS-1	400223-R2	4/1/2009	3/31/2018	365	N		1798459	L107
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		11343					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		18080					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		9244	YN21				
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	SS-1	400229-R3	11/1/2015	4/30/2022		N		685979	L90
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		6035					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		3527	YN21				
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	FSS-1	400507-R1	9/1/1994	4/30/2012	365	N		51060	
P	M2	ZONE M3 STORAGE POINT	95	79513	3		262	YN21				
P	MQ	ZONE M3 STORAGE POINT	95	79513	3		851	YN20				
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	FT-1	800294-R3	3/1/2012	4/15/2020		N	6340		L4
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	6340						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	6340						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	6340						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	FT-1	800295-R3	3/1/2012	4/15/2020		N	4231		L4
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4231						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	4231						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	4231						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	CDS	800424-R1	9/1/1994	10/31/2012	365	N	851		
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	365						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	486						
P	M2	ZONE M3 STORAGE POINT	95	79513	3	851						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	CDS	800529-R2	8/1/2006	10/31/2012	365	N	13334		L14/X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	13334						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	3622						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	4472						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	FT-1	830035-R3	9/1/2009	3/31/2013	365	N	9522		L29
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	9522						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	9522						
P	M2	ENTERPRISE TEXAS PIPELINE LLC - MAT	95	72601	STX	1558						
P	M2	"ANR - ST. LANDRY PA., LA - (D72043/"	95	75043	WLA	1368						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	9522						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	FT-1	910440-R4	3/1/2012	3/31/2016	365	N	9724		L46/X48
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	9724						
D	CONOCOPHILLIPS COMPANY	1368265	N	FT-1TMX	910662-R2	11/1/2010	10/31/2020		Y	345000		
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	345000						
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	345000						
P	M2	STECKMAN RIDGE (73605D INJ/73606R W	95	75605	3	50000						
P	MQ	STECKMAN RIDGE (73605D INJ/73606R W	95	75605	3	50000						
D	CONOCOPHILLIPS COMPANY	1368265	N	FT-1TMX	910882-R2	11/1/2017	10/31/2025		Y	50000		L117/O118
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	50000						
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	50000						
D	CONOCOPHILLIPS COMPANY	1368265	N	FT-1	911439-R1	11/1/2017	10/31/2018		N	3500		
P	M2	"NORAM - BALD KNOB - WHITE, AR"	95	72499	1	500						
P	MQ	"MISS RIV TRANS - STODDARD, MO"	95	73193	1	3500						
P	M2	"TEXAS GAS/FAYETVILLE, AR."	95	73577	1	3000						
D	CONOCOPHILLIPS COMPANY	1368265	N	FT-1	911441-R1	11/1/2017	10/31/2018		Y	10000		
P	M2	"COLUMBIA MIDSTREAM GROUP, LLC WESTM"	95	73727	3	10000						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	10000						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	FTS	330836-R2	11/1/2009	10/31/2014	365	N	3075		L4
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	3075						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	3075						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	SS-1	400224-R1	1/1/1999	4/30/2013	365	N		4169216	
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3		64362					
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		1938					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		3095					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		21431	YN21				
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	CDS	800410-R2	11/1/2006	10/31/2008	365	N	67285		L8/X2
P	MQ	"COLUMBIA GAS OF  PA.  - EAGLE, PA"	95	70011	3	9600						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	55238						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2447						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	2447						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	21431						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	FT-1	830114-R1	11/1/2000	10/31/2008	365	N	23115		
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	23115						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	23115						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	FT-1	910226-R1	12/1/2004	10/31/2007	365	N	10000		L43/X23
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	10000						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	FT-1	910584-R1	11/1/2006	10/31/2008	365	N	14770		X15
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	14770						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	FT1NJNY	910950-R1	11/1/2013	10/31/2028		Y	170000		
P	MQ	CONED-MANHATTAN DELIVERY	95	73722	3	170000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ (RECEI"	95	76087	3	100000						
P	M2	AGT MAINLINE (NJ-NY)	95	78200	3	100000						
P	M2	MAHWAH	95	78201	3	100000						
P	M2	RAMAPO	95	78214	3	100000						
D	"CONSUMERS GAS CO FOR ALBION, IL"	167019462	N	SCT	800014-R1	6/1/1993	10/31/2012	365	N	4203		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"GRAYVILLE, IL"	95	70441	1	4203						
D	"CONSUMERS GAS CO FOR CARMI, IL"	75888552	N	SCT	800015-R1	6/1/1993	10/31/2012	365	N	5538		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"CONSUMERS GAS CO. - CARMI, IL"	95	70089	1	5538						
D	"CONSUMERS GAS CO FOR OMAHA, IL"	5357	N	SCT	800016-R1	6/1/1993	10/31/2012	365	N	1320		YA1/X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"CONSUMERS GAS CO. - OMAHA, IL"	95	70937	1	1320						
D	"COOKEVILLE GAS DEPT, CITY OF"	16349367	N	FT-1	911191-R1	11/1/2015	10/31/2025		N	2500		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	2500						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	2500						
D	COTTONWOOD ENERGY COMPANY LP	121268432	N	FT-1	911424-R1	10/1/2017	5/31/2020		N	25000		
P	MQ	"COTTONWOOD ENERGY COMPANY, LP - NEW"	95	73298	WLA	25000						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	25000						
D	COTTONWOOD ENERGY COMPANY LP	121268432	N	FT-1	911430-R1	1/1/2018	5/31/2020		N	15000		
P	MQ	"COTTONWOOD ENERGY COMPANY, LP - NEW"	95	73298	WLA	15000						
P	M2	TRES PALACIOS GAS STORGE - 73558D(I	95	75558	STX	15000						
D	"CREAL SPRINGS, IL, CITY OF"	3261245	N	SCT	800017-R1	6/1/1993	10/31/2012	365	N	661		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"CREAL SPRINGS, IL"	95	71402	1	661						
D	"CROSSVILLE, IL, VILLAGE OF"	50725571	N	SCT	800018-R2	2/1/2006	10/31/2012	365	N	886		L4/X5
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"CROSSVILLE, IL"	95	70442	1	886						
D	"DALTON, CITY OF"	26880	N	FT-1M1	910449-R1	11/1/2004	10/31/2019		Y	2026		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"E.TENNESSEE GAS - MT. PLEASANT, GIL"	95	71298	1	2026						
P	M2	"SOUTHCROSS MISSISSIPPI PIPELINE, LP"	95	76580	ELA	2026						
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	FT-1	800475-R1	11/1/1995	10/31/2016	365	N	10000		
P	MQ	DELMARVA POWER & LIGHT - NEW CASTLE	95	72863	3	10000						
P	M2	ANR/TETCO (LEBANON LATERAL-ANR CAPA	95	79941	2	10000						
P	M2	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	10000						
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	LLFT	870018-R3	11/1/2015	10/31/2017	365	N	5196		L29
P	MQ	PEPL/TETCO (LEBANON LATERAL-TETCO C	95	72770	2	5196						
P	M2	"CMS - GAS CITY - GRANT CO., IN"	95	74902	2	5196						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	FT-1	911140-R3	3/1/2016	10/31/2017	365	N	31500		L69
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	1500						
P	MQ	"UGI UTIL (COLUMBIA GAS) - READING,"	95	70322	3	5000						
P	MQ	UGI UTIL (COLUMBIA GAS) - DAUPHIN C	95	70519	3	5000						
P	MQ	RELIANT PWR PLT - PA - (73306)	95	73306	3	20000						
P	M2	COLUMBIA GULF- ADAIR CO. KY (D73806	95	75506	2	25000						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	6500						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	FT-1MX	911141-R1	4/1/2014	3/31/2016	365	N	59000		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	59000						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	59000						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	FT-1	911142-R1	4/1/2014	10/31/2015	365	N	20000		
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	10000						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	10000						
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	20000						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	20000						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	FT-1	911143-R1	4/1/2014	4/30/2015	365	N	10000		
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	10000						
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	5000						
P	M2	"GREAT LAKE ENERGY - FAYETTE CO. ,PA"	95	73110	2	4500						
P	M2	GAS CHROMATOGRAPH @ 73210 GREAT LAK	95	73210	2	500						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	10000						
D	"DOMINION ENERGY SOLUTIONS, INC."	129911954	N	FT-1	911336-R1	9/1/2016	8/31/2018		N	1000		
A	VIRGINIA POWER ENERGY MARKETING INC	N										
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	500						
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	500						
P	MQ	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	1000						
D	"DOMINION ENERGY TRANSMISSION, INC."	116025180	N	X-135	011036-R2	11/1/2013	10/31/2017	365	N	120000		L110
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	71744	3	120000						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	120000						
D	"DOMINION ENERGY TRANSMISSION, INC."	116025180	N	X-137	200263-R2	11/1/2013	10/31/2017	365	N	112000		L111
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	71745	3	112000						
P	M2	DTI - CRAYNE REC- (REC72868/DEL7686	95	75868	2	112000						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	112000						
D	"DOMINION ENERGY TRANSMISSION, INC."	116025180	N	FT-1	830160-R3	11/1/2013	10/31/2017	365	N	103809		L24
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	103809						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	103809						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	43809						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	10381						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	103809						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	60000						
