H	"SOUTHERN STAR CENTRAL GAS PIPELINE, INC."	C000374	4/2/2018	O	4/1/2018	T	T	PHILIP RULLMAN 270-852-4440			
P	MQ	Warrensburg	95	26392	MKT	3571	0				
P	MQ	Waverly	95	26394	MKT	393	0				
P	MQ	Easley Poultry Farm	95	138	MKT	10	0				
P	MQ	MGE Industrial Park	95	175	MKT	500	0				
P	MQ	Mo Mkt Domestics	95	730	MKT	292	0				
P	MQ	"Carthage, Jasper, & Lamar"	95	4812	MKT	21194	0				
P	MQ	Alba-Purcell-Neck City	95	11704	MKT	488	0				
P	MQ	Carl Junction	95	11709	MKT	2286	0				
P	MQ	Carterville	95	11712	MKT	812	0				
P	MQ	Duenweg	95	11716	MKT	333	0				
P	MQ	Joplin-Galloway	95	11740	MKT	37038	0				
P	MQ	Reddings Mill	95	11772	MKT	140	0				
P	MQ	Saginaw	95	11776	MKT	205	0				
P	MQ	Smithfield	95	11778	MKT	25	0				
P	MQ	Stones Corner	95	11779	MKT	461	0				
P	MQ	Webb City	95	11792	MKT	5194	0				
P	MQ	"Kansas City, MO"	95	13745	MKT	252806	0				
P	MQ	Grain Valley & Lake Lotawana	95	13746	MKT	54000	0				
P	MQ	MGE - Kentucky Avenue	95	13747	MKT	40000	0				
P	MQ	47th & 71st & Stateline	95	13748	MKT	170000	0				
P	MQ	Cleveland Mo	95	15012	MKT	222	0				
P	MQ	East Lynne & Garden City	95	15020	MKT	719	0				
P	MQ	Freeman	95	15024	MKT	202	0				
P	MQ	Holden	95	15032	MKT	1499	0				
P	MQ	Kingsville	95	15044	MKT	385	0				
P	MQ	Lone Jack	95	15050	MKT	100	0				
P	MQ	Peculiar	95	15064	MKT	670	0				
P	MQ	Pleasant Hill	95	15066	MKT	2360	0				
P	MQ	Dearborn MO	95	15216	MKT	1676	0				
P	MQ	New Market & Trimble	95	15256	MKT	55	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	TSS-P	TS8249	6/15/2001	10/1/2018	0	N	153957	0
P	M2	CIG Floris	95	15266	PRD	10000	0				
P	M2	OFS Stateline	95	15300	PRD	2000	0				
P	M2	Velma Gas Plant	95	15430	PRD	1154	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	14621	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	1075	0				
P	M2	Oneok Westex Hemphill	95	16584	PRD	1263	0				
P	M2	ETC Field Services Canadian	95	16620	PRD	5067	0				
P	M2	Fox Plant	95	16679	PRD	19826	0				
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	77659	0				
P	M2	Superior - Hemphill	95	16820	PRD	4000	0				
P	M2	Semgas Group LLC	95	16855	PRD	3887	0				
P	M2	Superior - Perkins	95	16862	PRD	2150	0				
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	11255	0				
P	MQ	NGPL Barton	95	121415	PRD	10000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	143957	0				
D	"Liberal,  Missouri, City of"	25483264	N	TSS	TS569	10/1/1993	10/1/2013	1825	N	0	6369
A	"Utility Safety and Design, Inc."	N									
A	Utility Gas Management	N									
P	IJ	Mkt Storage	95	999021	MKT	0	48				
P	WR	Mkt Storage	95	999021	MKT	0	193				
D	"Liberal,  Missouri, City of"	25483264	N	TSS-M	TS569	10/1/1993	10/1/2013	1825	N	325	0
A	Utility Gas Management	N									
A	"Utility Safety and Design, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	132	0				
P	M2	Mkt Storage	95	999021	MKT	193	0				
P	MQ	Liberal	95	104615	MKT	325	0				
D	"Liberal,  Missouri, City of"	25483264	N	TSS-P	TS569	10/1/1993	10/1/2013	1825	N	136	0
A	"Utility Safety and Design, Inc."	N									
A	Utility Gas Management	N									
P	M2	OFS Maysville	95	7158	PRD	36	0				
P	M2	LINN - Jayhawk	95	16289	PRD	60	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	40	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	136	0				
D	Liberty Utilities (Midstates Natural Gas) Corp.	78314967	N	TSS	TS19211	8/1/2012	12/1/2015	1825	N	0	9900
A	"Empire District Gas Company, The"	N									
P	IJ	Mkt Storage	95	999021	MKT	0	74				
P	WR	Mkt Storage	95	999021	MKT	0	300				
D	Liberty Utilities (Midstates Natural Gas) Corp.	78314967	N	TSS-M	TS19211	8/1/2012	12/1/2015	1825	N	599	0
A	"Empire District Gas Company, The"	N									
P	M2	Mkt Storage	95	999021	MKT	300	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	299	0				
P	MQ	"Bourbon County, KS - Accounting Meter"	95	17000	MKT	599	0				
D	Liberty Utilities (Midstates Natural Gas) Corp.	78314967	N	TSS-P	TS19211	8/1/2012	12/1/2015	1825	N	301	0
A	"Empire District Gas Company, The"	N									
P	M2	LINN - Jayhawk	95	16289	PRD	301	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	301	0				
D	Mannford Public Works Authority	102415320	N	TSS	TS886	10/1/1996	10/1/2019	0	N	0	25443
A	"BlueMark Energy, LLC"	N									
P	IJ	Prd Storage	95	999020	PRD	0	191				
P	WR	Prd Storage	95	999020	PRD	0	771				
D	Mannford Public Works Authority	102415320	N	TSS-P	TS886	10/1/1996	10/1/2019	0	N	1450	0
A	"BlueMark Energy, LLC"	N									
P	M2	Prd Storage	95	999020	PRD	771	0				
P	M2	Questar Skull Creek	95	15236	PRD	33	0				
P	M2	CIG Floris	95	15266	PRD	646	0				
P	MQ	Mannford	95	110908	PRD	1450	0				
D	"Mulberry Kansas, City Of"	181583212	N	TSS	TS582	10/1/1993	10/1/2013	1825	N	0	6369
A	"Utility Safety and Design, Inc."	N									
A	Utility Gas Management	N									
P	IJ	Mkt Storage	95	999021	MKT	0	48				
P	WR	Mkt Storage	95	999021	MKT	0	193				
D	"Mulberry Kansas, City Of"	181583212	N	TSS-M	TS582	10/1/1993	10/1/2013	1825	N	290	0
A	"Utility Safety and Design, Inc."	N									
A	Utility Gas Management	N									
P	M2	Mkt Storage	95	999021	MKT	193	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	97	0				
P	MQ	Mulberry	95	118121	MKT	290	0				
D	"Mulberry Kansas, City Of"	181583212	N	TSS-P	TS582	10/1/1993	10/1/2013	1825	N	100	0
A	Utility Gas Management	N									
A	"Utility Safety and Design, Inc."	N									
P	M2	LINN - Jayhawk	95	16289	PRD	60	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	40	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	100	0				
D	"Oklahoma Natural Gas Company, a division of ONE Gas, Inc."	77349132	N	TSS	TS8343	11/1/2001	11/1/2013	1825	N	0	577500
P	IJ	Prd Storage	95	999020	PRD	0	4331				
P	WR	Prd Storage	95	999020	PRD	0	17500				
D	"Oklahoma Natural Gas Company, a division of ONE Gas, Inc."	77349132	N	TSS-P	TS8343	11/1/2001	11/1/2013	1825	N	26813	0
P	M2	LINN - Jayhawk	95	16289	PRD	8362	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	951	0				
P	M2	Prd Storage	95	999020	PRD	17500	0				
P	MQ	ONG Norman	95	16972	PRD	1	0				
P	MQ	ONG Guthrie	95	17054	PRD	1	0				
P	MQ	ONG Harper County	95	129311	PRD	800	0				
P	MQ	Ok Prd Domestics	95	620	PRD	57	0				
P	MQ	Arnett	95	904	PRD	443	0				
P	MQ	Capron	95	912	PRD	27	0				
P	MQ	Barnsdall	95	2008	PRD	755	0				
P	MQ	Bartlesville & Dewey	95	2009	PRD	19047	0				
P	MQ	Delaware	95	2016	PRD	142	0				
P	MQ	Nowata	95	2056	PRD	2351	0				
P	MQ	Pawhuska	95	2064	PRD	3189	0				
D	"Oklahoma Natural Gas Company, a division of ONE Gas, Inc."	77349132	N	TSS	TS8346	11/1/2001	11/1/2013	1825	N	0	343992
P	IJ	Mkt Storage	95	999021	MKT	0	2580				
P	WR	Mkt Storage	95	999021	MKT	0	10424				
D	"Oklahoma Natural Gas Company, a division of ONE Gas, Inc."	77349132	N	TSS-M	TS8346	11/1/2001	11/1/2013	1825	N	16699	0
P	M2	Prd/Mkt Interface	95	999000	MKT	6275	0				
P	M2	Mkt Storage	95	999021	MKT	10424	0				
P	MQ	Welch	95	204	MKT	241	0				
P	MQ	Ok Mkt Domestics	95	720	MKT	56	0				
P	MQ	Vinita	95	2101	MKT	4100	0				
P	MQ	Blue Jacket	95	16508	MKT	100	0				
P	MQ	Commerce	95	16516	MKT	2008	0				
P	MQ	Hockerville	95	16532	MKT	233	0				
P	MQ	Miami	95	16552	MKT	8553	0				
P	MQ	Quapaw	95	16568	MKT	544	0				
P	MQ	ONG Ottawa	95	16992	MKT	864	0				
D	"Oklahoma Natural Gas Company, a division of ONE Gas, Inc."	77349132	N	TSS-P	TS8346	11/1/2001	11/1/2013	1825	N	5589	0
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	419	0				
P	M2	LINN - Jayhawk	95	16289	PRD	4421	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	749	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	5589	0				
D	"Plattsburg Missouri, City Of"	783853229	N	TSS	TS594	10/1/1993	10/1/2008	1825	N	0	34023
A	Constellation NewEnergy - Gas Division LLC	N									
P	IJ	Mkt Storage	95	999021	MKT	0	255				
P	WR	Mkt Storage	95	999021	MKT	0	1031				
D	"Plattsburg Missouri, City Of"	783853229	N	TSS-M	TS594	10/1/1993	10/1/2008	1825	N	1720	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	689	0				
P	M2	Mkt Storage	95	999021	MKT	1031	0				
P	MQ	Plattsburg	95	139712	MKT	1720	0				
D	"Plattsburg Missouri, City Of"	783853229	N	TSS-P	TS594	10/1/1993	10/1/2008	1825	N	708	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	LINN - Jayhawk	95	16289	PRD	708	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	708	0				
D	Public Service Company of Colorado	6915953	N	TSS	TS595	10/1/1993	10/1/1998	1825	N	0	4158
P	IJ	Prd Storage	95	999020	PRD	0	31				
P	WR	Prd Storage	95	999020	PRD	0	126				
D	Public Service Company of Colorado	6915953	N	TSS-P	TS595	10/1/1993	10/1/1998	1825	N	218	0
P	M2	CIG Riner	95	14965	PRD	92	0				
P	M2	Prd Storage	95	999020	PRD	126	0				
P	MQ	Merino	95	145950	PRD	218	0				
D	"Superior, Nebraska"	0	N	TSS	TS21561	2/1/2014	11/1/2015	1825	N	0	37059
A	National Public Gas Agency	N									
P	IJ	Mkt Storage	95	999021	MKT	0	278				
P	WR	Mkt Storage	95	999021	MKT	0	1123				
D	"Superior, Nebraska"	0	N	TSS-M	TS21561	2/1/2014	11/1/2015	1825	N	1960	0
A	National Public Gas Agency	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	837	0				
P	M2	Mkt Storage	95	999021	MKT	1123	0				
P	MQ	Superior	95	163100	MKT	1960	0				
D	"Superior, Nebraska"	0	N	TSS-P	TS21561	2/1/2014	11/1/2015	1825	N	859	0
A	National Public Gas Agency	N									
P	M2	EOIT McClain	95	15142	PRD	705	0				
P	M2	OFS Stateline	95	15300	PRD	154	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	859	0				
