H	SOUTHERN NATURAL GAS COMPANY L.L.C.	C000021	4/2/2018	O	4/1/2018	T	T	Sherry Noack 713-420-3764				
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2000	0					
D	"IMPERIAL-SAVANNAH, LP"	3307196	N	FT	451611-MFTSNG-451612	11/1/1998	8/31/2016	365	N	511	0	
A	TEXICAN NATURAL GAS COMPANY	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	256	0					
P	MQ	IMPR-SAV/SNG SUGAR CHATHAM	95	935300	Zone 3	511	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	255	0					
D	"INDUSTRIAL INSULATION GROUP, LLC"	120928841	N	FT	451614-MFTSNG-451615	11/1/2011	8/31/2016	365	N	200	0	
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	AGL/SNG BRUNSWICK LINE AREA GLYNN	95	940041	Zone 3	200	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	200	0					
D	"INTERCONN RESOURCES, LLC"	129926408	N	FT	451685-MFTSNG-451695	9/1/2006	8/31/2016	365	N	225	0	
P	MQ	ACT MIN/SNG   AIKEN	95	783500	Zone 3	225	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	225	0					
D	INTERNATIONAL PAPER COMPANY	1316561	N	FT	451745-MFTSNG-451747	11/1/2006	8/31/2016	365	N	109	0	
A	"SCANA ENERGY MARKETING, INC."	N										
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	109	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	109	0					
D	INTERNATIONAL PAPER COMPANY	1316561	N	FT	451750-MFTSNG-451752	7/1/2008	8/31/2022		N	458	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
A	TEXICAN NATURAL GAS COMPANY	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	458	0					
P	MQ	IPC/SNG SAVANNAH CHATHAM	95	936400	Zone 3	458	0					
D	INTERNATIONAL PAPER COMPANY	1316561	N	FT	460696-MFTESNG-460708	12/1/2016	11/30/2026		Y	15000	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	IPC/SNG SAVANNAH CHATHAM	95	936400	Zone 3	15000	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	15000	0					
D	INTERNATIONAL PAPER COMPANY	1316561	N	FT	460710-MFTESNG-460709	12/1/2016	11/30/2026		Y	15800	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	15800	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	15800	0					
D	INTERNATIONAL PAPER COMPANY	1316561	N	FT	462883-MFTSNG-462876	12/1/2016	12/31/2018	365	N	511	0	
A	"SCANA ENERGY MARKETING, INC."	N										
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	AGL/SNG MONTEZUMA SUMTER	95	960250	Zone 3	511	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	256	0					
P	M2	GULFSTH/SNG PETAL CLARKE	95	606200	Zone 1	255	0					
D	INTERNATIONAL PAPER COMPANY	1316561	N	FT	462884-MFTESNG-462880	12/1/2016	11/30/2026		Y	2144	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	IPC/SNG PT WENTWORTH CHATHAM	95	935100	Zone 3	2144	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	1072	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	1072	0					
D	"JACKSONVILLE, CITY OF"	884399924	N	FT	451804-MFTSSNG-451809	4/1/1996	8/31/2016	365	N	1260	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1088	0					
P	MQ	JACKSONV/SNG   CALHOUN	95	846200	Zone 2	1260	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	172	0					
D	"JASPER, CITY OF (FLORIDA)"	24767055	N	FT	451814-MFTSNG-451817	10/1/2005	8/31/2016	365	N	194	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	91	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	19	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	11	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	17	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	56	0					
P	MQ	JASPER/SNG   HAMILTON	95	960220	Zone 3	194	0					
D	JEA	77580223	N	FT	460711-MFTESNG-460712	12/1/2016	11/30/2031		Y	55000	0	n1
A	"THE ENERGY AUTHORITY, INC."	N										
P	MQ	SEACOAST/SNG CYPRESS CLAY	95	606350	Zone 3	55000	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	55000	0					
D	JOINT BASE CHARLESTON-NAVAL WEAPONS STA	3797	N	FT	451830-MFTSNG-451831	10/1/2010	8/31/2016	365	N	300	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	300	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	300	0					
D	KIMBERLY-CLARK CORPORATION	6072136	N	FT	451838-MFTSNG-451839	12/4/1998	8/31/2016	365	N	2000	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2000	0					
P	MQ	KIM-CLRK/SNG   AIKEN	95	782400	Zone 3	2000	0					
D	KIMBERLY-CLARK CORPORATION	6072136	N	FT	451838-MFTSNG-451840	9/8/2003	9/30/2018	365	N	1634	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1634	0					
P	MQ	KIM-CLRK/SNG   AIKEN	95	782400	Zone 3	1634	0					
D	KIMBERLY-CLARK CORPORATION	6072136	N	FT	451838-MFTSNG-451841	9/1/2007	8/31/2017	365	N	1021	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	KIM-CLRK/SNG   AIKEN	95	782400	Zone 3	1021	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	1021	0					
D	KIMBERLY-CLARK CORPORATION	6072136	N	FT	451838-MFTSNG-451842	9/1/2007	8/31/2016	365	N	483	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	483	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	483	0					
D	"LAFAYETTE, GA., CITY OF"	38916755	N	FT	451854-MFTSNG-451859	1/1/2010	8/31/2016	365	N	877	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	482	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	59	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	139	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	78	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	119	0					
P	MQ	LAFAYETT/SNG   FLOYD	95	905800	Zone 3	877	0					
D	"LAGRANGE, CITY OF"	78105012	N	FT	451866-MFTSNG-451864	10/1/2005	8/31/2016	365	N	0	0	x5
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	0	0					
P	MQ	LAGRANGE/SNG LAGRANGE #2 TROUP	95	600066	Zone 2	0	0					
D	"LAGRANGE, CITY OF"	78105012	N	FT	451866-MFTSNG-451869	9/1/1996	8/31/2016	365	N	3647	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	3647	0					
P	MQ	LAGRANGE/SNG LAGRANGE #2 TROUP	95	600066	Zone 2	3647	0					
D	"LAGRANGE, CITY OF"	78105012	N	FT	451866-MFTSNG-451870	6/15/2002	5/31/2017	365	N	1787	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	543	0					
P	MQ	LAGRANGE/SNG LAGRANGE #2 TROUP	95	600066	Zone 2	1787	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	1244	0					
D	"LANETT, CITY OF"	84953280	N	FT	451877-MFTSNG-451881	11/1/2010	8/31/2016	365	N	153	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	EPE/SNG UDP BEAR CREEK FIELD R/S BI	95	653500	Zone 0	153	0					
P	MQ	LANETT/SNG   CHAMBERS	95	815500	Zone 2	153	0					
D	"LANETT, CITY OF"	84953280	N	FT	451876-MFTSSNG-451882	11/1/2010	8/31/2016	365	N	1174	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1174	0					
P	MQ	LANETT/SNG   CHAMBERS	95	815500	Zone 2	1174	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	FT	451891-MFTSNG-451894	4/1/2013	8/31/2016	365	N	23936	0	
A	"DTE ENERGY TRADING, INC."	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	5106	0					
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	5105	0					
P	MQ	LIBERTY/SNG COLUMBUS #2 HARRIS	95	600060	Zone 2	3088	0					
P	MQ	LIBERTY/SNG COLUMBUS #3 HARRIS	95	600063	Zone 2	15703	0					
P	MQ	LIBERTY/SNG COLUMBUS AREA PHENIX RU	95	698300	Zone 2	5145	0					
P	M2	MIDCONTINENT-SMITH CTY TO SNG	95	44449	Zone 1	5105	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	5207	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	3413	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	FT	451891-MFTSNG-451895	4/1/2013	10/31/2020		N	12000	0	n1
A	"DTE ENERGY TRADING, INC."	N										
P	MQ	LIBERTY/SNG COLUMBUS #2 HARRIS	95	600060	Zone 2	2042	0					
P	MQ	LIBERTY/SNG COLUMBUS #3 HARRIS	95	600063	Zone 2	5874	0					
P	MQ	LIBERTY/SNG COLUMBUS AREA PHENIX RU	95	698300	Zone 2	4084	0					
P	M2	MIDCONTINENT-SMITH CTY TO SNG	95	44449	Zone 1	12000	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	FT	451891-MFTSNG-463734	4/1/2017	8/31/2018	365	N	18	0	
A	"DTE ENERGY TRADING, INC."	N										
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	18	0					
P	MQ	LUPEACH/SNG  TALBOT	95	914400	Zone 3	18	0					
D	"LIVINGSTON, TOWN OF"	602353187	N	FT	451899-MFTSSNG-451904	11/1/1993	8/31/2016	365	N	664	0	
A	SEGAS ASSOCIATION	N										
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	472	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	192	0					
P	MQ	LIVINGST/SNG   SUMTER	95	800800	Zone 2	664	0					
D	"LOUISVILLE, CITY OF"	26677500	N	FT	451912-MFTSNG-454649	6/1/2015	8/31/2016	365	N	390	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	59	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	291	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	16	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	10	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	14	0					
P	MQ	LOUISVIL/SNG   BURKE	95	932800	Zone 3	390	0					
D	"LUMPKIN, CITY OF"	969005354	N	FT	451921-MFTSNG-451924	10/1/2005	8/31/2016	365	N	8	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	8	0					
P	MQ	LUMPKIN/SNG   STEWART	95	960230	Zone 3	8	0					
D	"MANCHESTER, CITY OF"	19576776	N	FT	451937-MFTSNG-451941	12/1/2002	8/31/2016	365	N	150	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	150	0					
P	MQ	MANCHEST/SNG   TALBOT	95	914200	Zone 3	150	0					
D	"MANCHESTER, CITY OF"	19576776	N	FT	451936-MFTSSNG-451942	11/1/1993	8/31/2016	365	N	67	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	67	0					
P	MQ	MANCHEST/SNG   TALBOT	95	914200	Zone 3	67	0					
D	"MANCHESTER, CITY OF"	19576776	N	FT	451936-MFTSSNG-455592	4/1/2016	8/31/2016	365	N	619	0	x19
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	619	0					
P	MQ	SNG/SNG BOUNDARY-SOUTH-ZONE 0 UNKNO	95	252000	Zone 0	619	0					
D	MARSHALL COUNTY GAS DISTRICT	47865589	N	FT	451982-MFTSNG-451986	4/1/2002	11/30/2020		N	1021	0	n1
A	SEGAS ASSOCIATION	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	487	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	69	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	465	0					
P	MQ	MARSHALL/SNG MARSHALL COUNTY #2 JEF	95	825500	Zone 2	1021	0					
D	MARSHALL COUNTY GAS DISTRICT	47865589	N	FT	451982-MFTSNG-451987	4/1/2002	11/30/2020		N	306	0	n1
A	SEGAS ASSOCIATION	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	157	0					
P	MQ	MARSHALL/SNG MARSHALL COUNTY #2 JEF	95	825500	Zone 2	306	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	149	0					
D	MARSHALL COUNTY GAS DISTRICT	47865589	N	FT	451982-MFTSNG-451988	9/1/2013	8/31/2016	365	N	6334	0	
A	SEGAS ASSOCIATION	N										
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	69	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	5187	0					
P	MQ	MARSHALL/SNG MARSHALL COUNTY #1 JEF	95	825400	Zone 2	3063	0					
P	MQ	MARSHALL/SNG MARSHALL COUNTY #2 JEF	95	825500	Zone 2	3271	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	1078	0					
D	MARSHALL COUNTY GAS DISTRICT	47865589	N	FT	451982-MFTSNG-451989	9/1/2014	8/31/2017	365	N	1327	0	
A	SEGAS ASSOCIATION	N										
P	MQ	MARSHALL/SNG MARSHALL COUNTY #2 JEF	95	825500	Zone 2	1327	0					
P	M2	URBAN/SNG UDP OAK GROVE #3 JEFFERSO	95	646060	Zone 2	1327	0					
D	"MILLEN, CITY OF"	79380119	N	FT	452026-MFTSSNG-452033	6/1/1995	8/31/2016	365	N	0	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	0	0					
P	MQ	MILLEN/SNG MILLEN AREA JENKINS	95	600257	Zone 3	0	0					
D	"MILLEN, CITY OF"	79380119	N	FT	452027-MFTSNG-454665	6/1/2015	8/31/2016	365	N	230	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	65	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	120	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	18	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	11	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	16	0					
P	MQ	MILLEN/SNG MILLEN AREA JENKINS	95	600257	Zone 3	230	0					
D	"MILLEN, CITY OF"	79380119	N	FT	452026-MFTSSNG-455594	4/1/2016	8/31/2016	365	N	213	0	x21
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	213	0					
P	MQ	SNG/SNG BOUNDARY-SOUTH-ZONE 0 UNKNO	95	252000	Zone 0	213	0					
D	"MONTICELLO, CITY OF"	93384931	N	FT	452044-MFTSNG-454667	6/1/2015	8/31/2016	365	N	378	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	72	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	92	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	12	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	12	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	10	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	180	0					
P	MQ	MNTICELO/SNG   JONES	95	916200	Zone 3	378	0					
D	MORGAN STANLEY CAPITAL GROUP INC. (SSEII)	30198013	N	FT	452053-MFTSNG-452055	9/8/2003	9/7/2018	365	N	5513	0	
A	MORGAN STANLEY CAPITAL GROUP INC.	N										
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	5513	0					
P	MQ	WALTDISC/SNG PLANT SMITH LEE	95	811400	Zone 2	5513	0					
D	"MOULTRIE, GEORGIA"	72477847	N	FT	452061-MFTSNG-457037	2/1/2016	8/31/2023		N	526	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	409	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	10	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	98	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	9	0					
P	MQ	MOULTRIE/SNG AREA COLQUITT	95	960260	Zone 3	526	0					
D	"MOULTRIE, GEORGIA"	72477847	N	FT	452061-MFTSNG-457038	2/1/2016	8/31/2016	365	N	200	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	200	0					
P	MQ	BLAKELY/SNG AREA EARLY	95	960070	Zone 3	100	0					
P	MQ	DAWSON/SNG   TERRELL	95	960130	Zone 3	100	0					
D	"MULGA, TOWN OF"	867176091	N	FT	452069-MFTSSNG-452074	11/1/1993	8/31/2016	365	N	747	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	743	0					
P	MQ	MULGA/SNG   JEFFERSON	95	821400	Zone 2	747	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	4	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	452078-MFTSNG-456295	12/18/2015	12/17/2025		Y	3350	0	n1
P	MQ	CAMILLA/SNG   MITCHELL	95	960090	Zone 3	500	0					
P	MQ	DOUGLAS/SNG   IRWIN	95	960170	Zone 3	1000	0					
P	MQ	FITZGRLD/SNG   BEN HILL	95	960190	Zone 3	1000	0					
P	MQ	SYLVESTE/SNG   WORTH	95	960340	Zone 3	150	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	3350	0					
P	MQ	TIFTON/SNG AREA TIFT	95	960378	Zone 3	700	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	460695-MFTESNG-460704	12/1/2016	11/30/2026		Y	1532	0	n1
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	1532	0					
P	MQ	WARN ROB/SNG WARNER ROBINS #2 TWIGG	95	600079	Zone 3	1532	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	460695-MFTESNG-460706	12/1/2016	11/30/2026		Y	2042	0	n1
P	MQ	MILLEN/SNG MILLEN AREA JENKINS	95	600257	Zone 3	1000	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	2042	0					
P	MQ	WARN ROB/SNG WARNER ROBINS #2 TWIGG	95	600079	Zone 3	1042	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	452078-MFTSNG-460736	12/1/2016	9/30/2018		Y	1596	0	n1
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	1596	0					
P	MQ	WARN ROB/SNG JOINTLY OWNED BOARD #2	95	915200	Zone 3	1596	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	452078-MFTSNG-460739	12/1/2016	11/30/2026		Y	150	0	n1
P	MQ	PERRY/SNG PERRY #2 BLECKLEY	95	915203	Zone 3	150	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	150	0					
D	"NASHVILLE, GEORGIA"	104583299	N	FT	452146-MFTSNG-452149	10/1/2005	8/31/2016	365	N	419	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	21	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	398	0					
P	MQ	NASHVILL/SNG   BERRIEN	95	960270	Zone 3	419	0					
D	"NASHVILLE, GEORGIA"	104583299	N	FT	452146-MFTSNG-452150	10/1/2005	9/30/2016	365	N	60	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	60	0					
P	MQ	NASHVILL/SNG   BERRIEN	95	960270	Zone 3	60	0					
D	NATIONAL CEMENT COMPANY	67127126	N	FT	452156-MFTSNG-454080	1/1/2015	2/29/2024		N	408	0	n1
A	"INTERCONN RESOURCES, LLC"	N										
P	MQ	NAT CMNT/SNG   ST CLAIR	95	840800	Zone 2	408	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	306	0					
P	M2	URBAN/SNG UDP OAK GROVE #3 JEFFERSO	95	646060	Zone 2	102	0					
D	NORBORD GEORGIA INC.	112622167	N	FT	452181-MFTSNG-452182	1/1/2010	8/31/2016	365	N	970	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	CORDELE/SNG AREA CRISP	95	960110	Zone 3	970	0					
P	M2	EPE/SNG UDP BEAR CREEK FIELD R/S BI	95	653500	Zone 0	970	0					
D	NORTHWEST ALABAMA GAS DISTRICT	48894711	N	FT	452228-MFTSSNG-452233	11/1/1996	8/31/2016	365	N	424	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	198	0					
P	MQ	NWALA/SNG TUSCALOOSA TUSCALOOSA	95	819800	Zone 2	424	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	226	0					
D	NUCOR CORPORATION	884959263	N	FT	452237-MFTSNG-452238	11/1/2006	8/31/2016	365	N	10883	0	
A	"MOBIUS RISK GROUP, LLC"	N										
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	7147	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	10883	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	3249	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	487	0					
D	OCCIDENTAL CHEMICAL CORPORATION	67271981	N	FT	452240-MFTSNG-452241	11/1/2007	10/31/2010	365	N	613	0	x29
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	AGL/SNG AUGUSTA AREA RICHMOND	95	940016	Zone 3	613	0					
P	M2	EPE/SNG UDP BEAR CREEK FIELD R/S BI	95	653500	Zone 0	613	0					
D	"OCILLA, CITY OF"	96633490	N	FT	452244-MFTSNG-452247	9/1/2013	8/31/2016	365	N	47	0	
A	CITY SERVICES	N										
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	47	0					
P	MQ	OCILLA/SNG   IRWIN	95	960280	Zone 3	47	0					
D	OGLETHORPE POWER CORPORATION (AN EMC)	73460305	N	FT	452253-MFTSNG-452257	5/1/2007	9/30/2018	365	N	0	0	
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	0	0					
P	MQ	OGLETHRP/SNG PLANT SEWELL CREEK POL	95	914500	Zone 3	0	0					
D	OGLETHORPE POWER CORPORATION (AN EMC)	73460305	N	FT	452253-MFTSNG-452258	11/1/2011	10/31/2022		N	13273	0	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	ETNG/SNG WHITFIELD WHITFIELD	95	606100	Zone 3	13273	0					
P	M2	SOUTHXPL/SNG DUNCANVILLE TUSCALOOSA	95	605400	Zone 2	13273	0					
D	OGLETHORPE POWER CORPORATION (AN EMC)	73460305	N	FT	452253-MFTSNG-452261	5/1/2016	9/30/2036		N	0	0	n1
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	0	0					
P	MQ	WASH CTY/SNG WASHINGTON TIGER CREEK	95	930100	Zone 3	0	0					
D	"ONEONTA, CITY OF"	622133221	N	FT	452269-MFTSNG-452273	7/21/2002	8/31/2016	365	N	306	0	
A	SEGAS ASSOCIATION	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	61	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	187	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	58	0					
P	MQ	ONEONTA/SNG   JEFFERSON	95	823400	Zone 2	306	0					
D	"ONEONTA, CITY OF"	622133221	N	FT	452268-MFTSSNG-452274	11/1/1996	8/31/2016	365	N	1460	0	
A	SEGAS ASSOCIATION	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	66	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	69	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1262	0					
P	MQ	ONEONTA/SNG   JEFFERSON	95	823400	Zone 2	1460	0					
