H	"EL PASO NATURAL GAS COMPANY, L.L.C."	C000967	4/2/2018	O	4/1/2018	T		Sherry Saunders 719-520-3711				
P	MQ	SWGAS/EPNG (DSWG HCH) FT. HUACHUCA	95	301110	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG MOR) SWG MORENCI G	95	301114	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG NOG) SWG NOGALAS L	95	301117	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG PHX) SWG  PHOENIX	95	301122	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG S78) SOUTH TUCSON	95	301126	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG SJW) SWG KINGMAN A	95	301129	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG SNM) SWG SAN MANUE	95	301130	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG SUP) SWG SUPERIOR	95	301131	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG TUS) SWGTUCSON ARE	95	301133	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG WIL) SWG  WILLCOX	95	301135	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG YUM) SWG YUMA AREA	95	301142	ARIZONA - NO BASIN	0	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FTH-3	610192-FH3EPNG	11/1/2017	9/30/2044		N	4000	0	n1
P	MQ	SWGAS/EPNG (DSWG PHX) SWG  PHOENIX	95	301122	ARIZONA - NO BASIN	4000	0					
P	M2	VERSADO/EPNG (IWARMONU) MONUMENT PL	95	314598	NEW MEXICO - PERMIAN	4000	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FTH-3	610193-FH3EPNG	11/1/2017	3/31/2023		N	60000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	36000	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	24000	0					
P	MQ	SWGAS/EPNG (DSWG AJO) AJO PIMA	95	301084	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG EUR) EUROFRESH	95	314589	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	400	0					
P	MQ	SWGAS/EPNG (DSWG HCH) FT. HUACHUCA	95	301110	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	15300	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	16000	0					
P	MQ	SWGAS/EPNG (DSWG PHX) SWG  PHOENIX	95	301122	ARIZONA - NO BASIN	7600	0					
P	MQ	SWGAS/EPNG (DSWG S78) SOUTH TUCSON	95	301126	ARIZONA - NO BASIN	14700	0					
P	MQ	SWGAS/EPNG (DSWG TUS) SWGTUCSON ARE	95	301133	ARIZONA - NO BASIN	6000	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FTH-3	610194-FH3EPNG	11/1/2017	3/31/2020		N	11400	0	n1
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	11400	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	1011	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	428	0					
P	MQ	SWGAS/EPNG (DSWG PHX) SWG  PHOENIX	95	301122	ARIZONA - NO BASIN	9961	0					
D	"TEXAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC."	47030002	N	FTH-3	H322A000-FH3EPNG	5/17/2015	5/16/2025		Y	24000	0	n1
P	M2	EPNG/EPNG (EPLAT) EL PASO LATERAL E	95	310270	TEXAS - NO BASIN	24000	0					
P	MQ	TXGASSRV/EPNG (DSUG ELP) EL PASO AR	95	301057	TEXAS - NO BASIN	24000	0					
D	"TEXAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC."	47030002	N	FTH-3	H322B000-FH3EPNG	8/1/2014	7/31/2024		Y	94927	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	26263	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	26577	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	42087	0					
P	MQ	OKTEX/EPNG (DWGI AT2) WESTERN INTER	95	320491	TEXAS - NO BASIN	102	0					
P	MQ	OKTEX/EPNG (DWGI EP1) CANUTILLO TEX	95	330796	TEXAS - NO BASIN	2162	0					
P	MQ	TXGASSRV/EPNG (DSUG ELP) EL PASO AR	95	301057	TEXAS - NO BASIN	86000	0					
P	MQ	TXGASSRV/EPNG (DSUG EPE) DELL CITY	95	301060	TEXAS - NO BASIN	2500	0					
P	MQ	TXGASSRV/EPNG (DSUG PAN) BORGER ARE	95	301065	TEXAS - ANADARKO BAS	4050	0					
P	MQ	TXGASSRV/EPNG (DSUG SKY) SKELLY TOW	95	320604	TEXAS - ANADARKO BAS	113	0					
D	"UNS GAS, INC."	135904907	N	FTH-3	H3229000-FH3EPNG	9/1/2013	8/31/2023		Y	54755	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	35686	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	13711	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	5358	0					
P	MQ	UNSGAS/EPNG (DCITZGIL) BAGDAD CITY	95	331374	ARIZONA - NO BASIN	400	0					
P	MQ	UNSGAS/EPNG (DCITZHLJ) HOLBROOK-JOS	95	300803	ARIZONA - NO BASIN	4605	0					
P	MQ	UNSGAS/EPNG (DCITZNOG) NOGALES AREA	95	300808	ARIZONA - NO BASIN	803	0					
P	MQ	UNSGAS/EPNG (DCITZPHX) PRESCOTT ARE	95	300809	ARIZONA - NO BASIN	6500	0					
P	MQ	UNSGAS/EPNG (DCITZPRC) PRESCOTT YAV	95	300810	ARIZONA - NO BASIN	13744	0					
P	MQ	UNSGAS/EPNG (DCITZSED) SEDONA CG YA	95	300811	ARIZONA - NO BASIN	8756	0					
P	MQ	UNSGAS/EPNG (DCITZSJE) FLAGSTAFF AR	95	300812	ARIZONA - NO BASIN	6799	0					
P	MQ	UNSGAS/EPNG (DCITZSJW) KINGMAN AREA	95	300813	ARIZONA - NO BASIN	4600	0					
P	MQ	UNSGAS/EPNG (DCITZSWF) SOUTHWEST FO	95	330793	ARIZONA - NO BASIN	8548	0					
D	"ARIZONA ELECTRIC POWER COOPERATIVE, INC."	68397876	N	FTH-8	H822F000-FH8EPNG	4/1/2015	10/31/2024		Y	8553	0	n1
A	"ACES POWER MARKETING, LLC"	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	5323	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	3230	0					
P	MQ	AZELCPWR/EPNG (DAEPCWIL) WILLCOX CO	95	300754	ARIZONA - NO BASIN	8553	0					
D	ARIZONA PUBLIC SERVICE COMPANY	6901995	N	FTH-8	H822E000-FH8EPNG	6/1/2013	12/31/2023		Y	15250	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	9925	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	5325	0					
P	MQ	APS/EPNG (DAPS PHX) APS PHX MARICOP	95	300777	ARIZONA - NO BASIN	15250	0					
D	ARIZONA PUBLIC SERVICE COMPANY	6901995	N	FTH-8	H822G000-FH8EPNG	4/1/2017	10/31/2020		Y	42374	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	42374	0					
P	MQ	APS/EPNG (DAPS PHX) APS PHX MARICOP	95	300777	ARIZONA - NO BASIN	42374	0					
D	ARIZONA PUBLIC SERVICE COMPANY	6901995	N	FTH-8	610506-FH8EPNG	1/1/2018	12/31/2022		Y	15000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	15000	0					
P	MQ	APS/EPNG (DAPS PHX) APS PHX MARICOP	95	300777	ARIZONA - NO BASIN	15000	0					
D	SOUTHWESTERN PUBLIC SERVICE COMPANY	7369713	N	FTH-8	610337-FH8EPNG	12/1/2017	11/30/2023		Y	11000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	11000	0					
P	MQ	SPS/EPNG (DPLTXDIS) PLANT X	95	330090	TEXAS - PERMIAN BASI	11000	0					
F	1	"The Contract Primary Term Expiration Date has not passed. Contract may or may not continue under an ""evergreen"" or ""rollover"" provision."										
F	2	"Full Requirements service not to exceed 10,000 Dth/d."										
F	3	"Full Requirements service not to exceed 10,000 Dth/d."										
F	4	"Full Requirements service not to exceed 10,000 Dth/d."										
F	5	"Full Requirements service not to exceed 10,000 Dth/d."										
F	6	"Full Requirements service not to exceed 10,000 Dth/d."										
F	7	"Full Requirements service not to exceed 10,000 Dth/d."										
F	8	"Full Requirements service not to exceed 10,000 Dth/d."										
F	9	"Full Requirements service not to exceed 10,000 Dth/d."										
F	10	"Full Requirements service not to exceed 10,000 Dth/d."										
F	11	"Full Requirements service not to exceed 10,000 Dth/d."										
F	12	"Full Requirements service not to exceed 10,000 Dth/d."										
F	13	"Full Requirements service not to exceed 10,000 Dth/d."										
F	14	"Full Requirements service not to exceed 10,000 Dth/d."										
F	15	"Full Requirements service not to exceed 10,000 Dth/d."										
F	16	"Full Requirements service not to exceed 10,000 Dth/d."										
F	17	"Full Requirements service not to exceed 10,000 Dth/d."										
F	18	"Full Requirements service not to exceed 10,000 Dth/d."										
F	19	"Full Requirements service not to exceed 10,000 Dth/d."										
F	20	"Full Requirements service not to exceed 10,000 Dth/d."										
F	21	"Full Requirements service not to exceed 10,000 Dth/d."										
F	22	"Full Requirements service not to exceed 10,000 Dth/d."										
